,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8494896,6.5603744,9.0474292,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.80450375,1.040755,6.260783333333333,96.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.7976524999999999,1.0509095833333333,6.314547083333333,96.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8006491666666667,0.49468875000000007,6.199891249999999,63.666666666666664,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.79627375,0.48318374999999997,6.326955833333334,53.416666666666664,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.81940875,0.5493808333333333,6.7135662499999995,555.5833333333334,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",4,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8290424999999999,0.54901875,6.747443333333333,585.4166666666666,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",4,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",4,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",4,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8224691666666667,0.5082579166666666,6.3967591666666666,377.9166666666667,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",4,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8253637499999998,0.5393795833333334,6.447924583333333,535.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",4,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8312170833333333,0.5776549999999999,6.68162,1492.3333333333333,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",6,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.828185,0.59375375,6.7980020833333334,2019.1666666666667,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",6,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",6,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",6,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8115654166666667,0.49967791666666667,6.229113333333333,445.1666666666667,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",6,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8295983333333332,0.5461670833333333,6.464140416666666,772.5833333333334,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",6,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8015616666666666,0.2437575,3.1461512500000004,128.0,2,"[28, 24, 20, 16, 12]","[True, False]",[6],2,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.7980879166666667,0.23603875,3.1585554166666667,128.0,2,"[28, 24, 20, 16, 12]","[True, False]",[6],2,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]",[6],2,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]",[6],2,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.7920325,0.24661375,3.176107083333333,86.41666666666667,2,"[28, 24, 20, 16, 12]","[True, False]",[6],2,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.80350625,0.2516366666666667,3.1615149999999996,88.33333333333333,2,"[28, 24, 20, 16, 12]","[True, False]",[6],2,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.82856,0.2952425,3.338445,1218.1666666666667,2,"[28, 24, 20, 16, 12]","[True, False]",[6],4,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8255970833333334,0.28971458333333333,3.34174625,1038.0833333333333,2,"[28, 24, 20, 16, 12]","[True, False]",[6],4,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]",[6],4,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]",[6],4,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8191033333333334,0.26343958333333334,3.2024966666666668,494.3333333333333,2,"[28, 24, 20, 16, 12]","[True, False]",[6],4,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8170183333333334,0.2759554166666667,3.303785,718.5,2,"[28, 24, 20, 16, 12]","[True, False]",[6],4,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8179008333333333,0.31458749999999996,3.3741454166666665,2836.4166666666665,2,"[28, 24, 20, 16, 12]","[True, False]",[6],6,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8221575,0.31203416666666667,3.344367083333333,2763.75,2,"[28, 24, 20, 16, 12]","[True, False]",[6],6,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]",[6],6,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]",[6],6,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.7919033333333334,0.24935125,3.082792083333333,512.0,2,"[28, 24, 20, 16, 12]","[True, False]",[6],6,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8080945833333333,0.2683816666666667,3.1845245833333333,969.8333333333334,2,"[28, 24, 20, 16, 12]","[True, False]",[6],6,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.82686625,0.48695958333333333,6.379500416666666,288.0,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",2,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8159979166666668,0.48575125,6.323632916666667,304.0,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",2,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",2,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",2,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8150000000000001,0.50816375,6.389140833333333,178.41666666666666,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",2,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.82299125,0.5076550000000001,6.399756666666668,129.75,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",2,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8276058333333333,0.6060679166666666,6.660875416666666,2210.8333333333335,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",4,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8310804166666665,0.6057325,6.619620416666667,2043.5,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",4,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",4,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",4,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8265500000000001,0.5158283333333333,6.282327083333333,494.25,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",4,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8337312499999999,0.55225625,6.442496666666666,902.6666666666666,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",4,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8343999999999999,0.6742208333333334,6.682391249999999,3707.5833333333335,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",6,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.82995125,0.6762483333333332,6.719574166666667,4335.916666666667,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",6,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",6,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",6,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8205354166666666,0.5116870833333333,6.078005416666667,512.0,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",6,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8202008333333334,0.5374837499999999,6.230708750000001,954.0833333333334,2,"[28, 24, 20, 16, 12]","[True, False]","[6, 8]",6,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8031820833333333,0.25539791666666667,3.2716587500000003,512.0,2,"[28, 24, 20, 16, 12]","[True, False]",[8],2,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8129966666666667,0.25583833333333333,3.3060316666666663,512.0,2,"[28, 24, 20, 16, 12]","[True, False]",[8],2,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]",[8],2,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]",[8],2,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8117404166666667,0.2678695833333333,3.2638645833333335,234.75,2,"[28, 24, 20, 16, 12]","[True, False]",[8],2,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8142537500000001,0.26832833333333334,3.268949166666667,232.08333333333334,2,"[28, 24, 20, 16, 12]","[True, False]",[8],2,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8256479166666666,0.3244941666666667,3.379575416666667,3390.4166666666665,2,"[28, 24, 20, 16, 12]","[True, False]",[8],4,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8267070833333333,0.3333145833333333,3.399007083333333,3048.75,2,"[28, 24, 20, 16, 12]","[True, False]",[8],4,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]",[8],4,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]",[8],4,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.7966237500000001,0.2600091666666667,3.1145679166666667,512.0,2,"[28, 24, 20, 16, 12]","[True, False]",[8],4,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8252475,0.28102208333333334,3.213277916666667,934.25,2,"[28, 24, 20, 16, 12]","[True, False]",[8],4,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.81946625,0.3689641666666667,3.3460083333333337,5682.416666666667,2,"[28, 24, 20, 16, 12]","[True, False]",[8],6,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8232270833333334,0.3693970833333333,3.3686354166666668,5743.833333333333,2,"[28, 24, 20, 16, 12]","[True, False]",[8],6,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]",[8],6,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,2,"[28, 24, 20, 16, 12]","[True, False]",[8],6,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.7486562500000001,0.2613904166666667,2.96621125,512.0,2,"[28, 24, 20, 16, 12]","[True, False]",[8],6,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.78688875,0.27539291666666665,3.054669583333333,1008.5,2,"[28, 24, 20, 16, 12]","[True, False]",[8],6,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8015675,2.543945,7.772917083333334,408.0,12,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.7901475000000001,2.563005833333333,7.817316666666667,432.0,12,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,12,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,12,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.7930979166666668,2.681259583333334,7.834876666666667,270.0,12,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.7931195833333332,2.6809725000000006,7.7944033333333325,267.0,12,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8285125,3.1266008333333333,8.2944875,3714.5,12,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",4,none,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8312312500000001,3.100320416666667,8.195991666666666,3040.0,12,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",4,none,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,12,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",4,chi,256
0,CBOSS_Dilation_bulk,ALL_AVERAGE,,,,,12,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",4,chi,512
0,CBOSS_Dilation_bulk,ALL_AVERAGE,0.8231229166666667,2.965813333333333,8.025217499999998,2075.0,12,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",4,random,256
