,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
0,CBOSS,ArrowHead,0.84571,10.66212,11.21446,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
1,CBOSS,Beef,0.7,8.90351,2.56221,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
2,CBOSS,BeetleFly,0.95,13.58352,2.16521,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
3,CBOSS,BirdChicken,0.95,9.52571,2.2151,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
4,CBOSS,Car,0.83333,29.29375,4.64753,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
5,CBOSS,CBF,0.99889,4.26934,49.03824,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
6,CBOSS,Coffee,1.0,5.45215,2.50237,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
7,CBOSS,DiatomSizeReduction,0.88889,4.95379,19.2809,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
8,CBOSS,DistalPhalanxOutlineAgeGroup,0.76978,12.22647,8.88769,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
9,CBOSS,DistalPhalanxOutlineCorrect,0.72826,19.31065,17.65229,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
10,CBOSS,DistalPhalanxTW,0.68345,12.69524,9.63724,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
11,CBOSS,ECG200,0.84,5.43179,6.08651,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
12,CBOSS,ECGFiveDays,1.0,4.41893,48.39827,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
13,CBOSS,ItalyPowerDemand,0.91837,1.88942,51.70997,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
14,CBOSS,MiddlePhalanxOutlineAgeGroup,0.56494,12.16185,9.80425,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
15,CBOSS,MiddlePhalanxOutlineCorrect,0.78351,18.29072,18.73081,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
16,CBOSS,MiddlePhalanxTW,0.53896,12.44574,10.44326,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
17,CBOSS,OliveOil,0.86667,10.81053,2.6986,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
18,CBOSS,Plane,1.0,10.08014,7.13151,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
19,CBOSS,ProximalPhalanxOutlineAgeGroup,0.8439,12.36354,13.0602,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
20,CBOSS,ProximalPhalanxOutlineCorrect,0.84536,17.72909,19.10415,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
21,CBOSS,ProximalPhalanxTW,0.78537,12.27374,13.73983,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
22,CBOSS,SyntheticControl,0.93667,7.31301,16.88869,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
23,CBOSS,TwoLeadECG,0.99473,2.82283,62.753,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
24,CBOSS,Wine,0.74074,9.90704,4.062,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
25,CBOSS,ALL_AVERAGE,0.8403012,10.7525848,16.5765716,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
0,CBOSS_Dilation,ArrowHead,0.80571,1.36677,8.59173,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
1,CBOSS_Dilation,Beef,0.7,1.47184,1.91446,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
2,CBOSS_Dilation,BeetleFly,0.8,1.47035,1.52604,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
3,CBOSS_Dilation,BirdChicken,0.8,1.42576,1.45413,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
