,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_shapelet_samples,max_shapelet_length,max_shapelets
0,STC,ArrowHead,0.68571,19.77547,3.5676,NULL,10000 without dilation,None,None
1,STC,Beef,0.63333,32.54748,1.50182,NULL,10000 without dilation,None,None
2,STC,BeetleFly,0.85,38.52677,1.12876,NULL,10000 without dilation,None,None
3,STC,BirdChicken,0.8,33.84249,0.97113,NULL,10000 without dilation,None,None
4,STC,Car,0.91667,63.06069,4.20584,NULL,10000 without dilation,None,None
5,STC,CBF,0.96,12.09596,8.34461,NULL,10000 without dilation,None,None
6,STC,Coffee,1.0,13.37622,0.8118,NULL,10000 without dilation,None,None
7,STC,DiatomSizeReduction,0.94444,14.11086,4.65206,NULL,10000 without dilation,None,None
8,STC,DistalPhalanxOutlineAgeGroup,0.7482,142.95231,13.08226,NULL,10000 without dilation,None,None
9,STC,DistalPhalanxOutlineCorrect,0.7971,346.05484,34.67863,NULL,10000 without dilation,None,None
10,STC,DistalPhalanxTW,0.66906,145.46455,12.43522,NULL,10000 without dilation,None,None
11,STC,ECG200,0.89,22.04281,3.70628,NULL,10000 without dilation,None,None
12,STC,ECGFiveDays,0.99652,8.90293,6.37282,NULL,10000 without dilation,None,None
13,STC,ItalyPowerDemand,0.96307,10.17563,8.86379,NULL,10000 without dilation,None,None
14,STC,MiddlePhalanxOutlineAgeGroup,0.54545,147.66187,14.13484,NULL,10000 without dilation,None,None
15,STC,MiddlePhalanxOutlineCorrect,0.84192,321.51364,30.50281,NULL,10000 without dilation,None,None
16,STC,MiddlePhalanxTW,0.52597,167.42223,14.49447,NULL,10000 without dilation,None,None
17,STC,OliveOil,0.8,18.93223,1.32291,NULL,10000 without dilation,None,None
18,STC,Plane,1.0,33.50793,5.192,NULL,10000 without dilation,None,None
19,STC,ProximalPhalanxOutlineAgeGroup,0.82439,144.12632,18.19176,NULL,10000 without dilation,None,None
20,STC,ProximalPhalanxOutlineCorrect,0.89003,321.51665,32.14439,NULL,10000 without dilation,None,None
21,STC,ProximalPhalanxTW,0.79024,144.46985,16.77054,NULL,10000 without dilation,None,None
22,STC,SyntheticControl,0.99667,94.45835,20.27027,NULL,10000 without dilation,None,None
23,STC,TwoLeadECG,0.99473,8.11545,7.39846,NULL,10000 without dilation,None,None
24,STC,Wine,0.98148,22.03526,3.17832,NULL,10000 without dilation,None,None
0,STC_Dilation,ArrowHead,0.80571,22.4996,4.22,1000,10000,,1000
1,STC_Dilation,Beef,0.76667,36.15875,1.61947,1000,10000,,1000
2,STC_Dilation,BeetleFly,0.9,39.99297,1.04028,1000,10000,,1000
3,STC_Dilation,BirdChicken,0.75,36.61577,1.08079,1000,10000,,1000
