,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_shapelet_samples,max_shapelet_length,max_shapelets
0,STC,ArrowHead,0.76,20.61202,3.81056,NULL,10000 without dilation,None,None
1,STC,Beef,0.76667,33.21174,1.66581,NULL,10000 without dilation,None,None
2,STC,BeetleFly,0.9,38.80379,1.07669,NULL,10000 without dilation,None,None
3,STC,BirdChicken,0.85,33.74447,0.93292,NULL,10000 without dilation,None,None
4,STC,Car,0.91667,63.35793,4.30557,NULL,10000 without dilation,None,None
5,STC,CBF,0.96333,11.72825,7.8058,NULL,10000 without dilation,None,None
6,STC,Coffee,1.0,13.31872,0.81491,NULL,10000 without dilation,None,None
7,STC,DiatomSizeReduction,0.95098,13.65984,4.29445,NULL,10000 without dilation,None,None
8,STC,DistalPhalanxOutlineAgeGroup,0.7482,144.85481,13.02359,NULL,10000 without dilation,None,None
9,STC,DistalPhalanxOutlineCorrect,0.80072,344.41499,34.6625,NULL,10000 without dilation,None,None
10,STC,DistalPhalanxTW,0.67626,142.55792,12.26901,NULL,10000 without dilation,None,None
11,STC,ECG200,0.86,21.57989,3.56073,NULL,10000 without dilation,None,None
12,STC,ECGFiveDays,0.99652,8.74742,6.16047,NULL,10000 without dilation,None,None
13,STC,ItalyPowerDemand,0.96501,10.20236,8.96657,NULL,10000 without dilation,None,None
14,STC,MiddlePhalanxOutlineAgeGroup,0.57792,147.42651,14.4742,NULL,10000 without dilation,None,None
15,STC,MiddlePhalanxOutlineCorrect,0.83505,328.72378,32.06551,NULL,10000 without dilation,None,None
16,STC,MiddlePhalanxTW,0.55844,166.94861,14.33321,NULL,10000 without dilation,None,None
17,STC,OliveOil,0.76667,18.62429,1.26909,NULL,10000 without dilation,None,None
18,STC,Plane,1.0,33.98957,5.3444,NULL,10000 without dilation,None,None
19,STC,ProximalPhalanxOutlineAgeGroup,0.8439,144.37713,18.71938,NULL,10000 without dilation,None,None
20,STC,ProximalPhalanxOutlineCorrect,0.89691,313.58629,30.58732,NULL,10000 without dilation,None,None
21,STC,ProximalPhalanxTW,0.8,146.91093,17.17104,NULL,10000 without dilation,None,None
22,STC,SyntheticControl,0.99667,91.64529,19.52072,NULL,10000 without dilation,None,None
23,STC,TwoLeadECG,0.99298,7.83243,6.61195,NULL,10000 without dilation,None,None
24,STC,Wine,0.90741,21.8731,3.09945,NULL,10000 without dilation,None,None
0,STC_Dilation,ArrowHead,0.76,22.64108,4.33403,360,10000,,
1,STC_Dilation,Beef,0.73333,36.44161,1.61168,300,10000,,
2,STC_Dilation,BeetleFly,0.9,40.16017,1.01416,200,10000,,
3,STC_Dilation,BirdChicken,0.8,37.09769,1.17227,200,10000,,
4,STC_Dilation,Car,0.81667,79.81924,4.3307,600,10000,,
5,STC_Dilation,CBF,0.96333,12.71023,8.80289,300,10000,,
6,STC_Dilation,Coffee,1.0,15.62768,0.93979,280,10000,,
7,STC_Dilation,DiatomSizeReduction,0.94118,15.89464,4.45739,160,10000,,
8,STC_Dilation,DistalPhalanxOutlineAgeGroup,0.71223,153.57508,14.05828,1000,10000,,
9,STC_Dilation,DistalPhalanxOutlineCorrect,0.79348,362.33584,37.19898,1000,10000,,
10,STC_Dilation,DistalPhalanxTW,0.68345,150.83973,13.30326,1000,10000,,
