,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_shapelet_samples,max_shapelet_length,max_shapelets
0,STC,ALL_AVERAGE,0.848632,92.56624440000002,10.749635999999999,NULL,10000,None,None
0,STC,ALL_AVERAGE,0.8487927999999999,93.16745559999998,10.683353599999998,NULL,10000,None,None
0,STC_Dilation,ALL_AVERAGE,0.8475912,101.9212228,11.876124399999998,NULL,10000,,
0,STC_Dilation,ALL_AVERAGE,0.8390616000000002,102.1910088,11.842179600000001,NULL,10000,,1000
0,STC_Dilation,ALL_AVERAGE,0.8483256,107.11228080000001,12.697835599999998,NULL,10000,,3000
0,STC_Dilation,ALL_AVERAGE,0.8497984,107.556832,12.848836,NULL,10000,,5000
0,STC_Dilation,ALL_AVERAGE,0.8591464000000001,107.49616680000001,12.7191664,NULL,10000,,10000
0,STC_Dilation,ALL_AVERAGE,0.8452611999999999,107.3344528,12.621412400000002,NULL,10000,,20000
0,STC_Dilation,ALL_AVERAGE,0.8227892,114.5934028,15.352092399999998,NULL,10000,7,
0,STC_Dilation,ALL_AVERAGE,0.8327351999999999,128.72197640000002,20.264886800000003,NULL,10000,7,1000
0,STC_Dilation,ALL_AVERAGE,0.8358856,236.5960436,38.0974784,NULL,10000,7,3000
0,STC_Dilation,ALL_AVERAGE,0.8254144000000001,283.02898120000003,45.913743999999994,NULL,10000,7,5000
0,STC_Dilation,ALL_AVERAGE,0.8220479999999999,308.7495531999999,50.01256719999999,NULL,10000,7,10000
0,STC_Dilation,ALL_AVERAGE,0.8350067999999999,307.8233768,49.8429784,NULL,10000,7,20000
0,STC_Dilation,ALL_AVERAGE,0.8448052,113.16554239999999,15.0692724,NULL,10000,9,
0,STC_Dilation,ALL_AVERAGE,0.8344396,126.71587639999998,19.3174332,NULL,10000,9,1000
0,STC_Dilation,ALL_AVERAGE,0.8438988000000001,222.99270719999996,35.301039599999996,NULL,10000,9,3000
0,STC_Dilation,ALL_AVERAGE,0.836062,262.6652128,41.9501116,NULL,10000,9,5000
0,STC_Dilation,ALL_AVERAGE,0.8361224,276.63282280000004,44.073289599999995,NULL,10000,9,10000
0,STC_Dilation,ALL_AVERAGE,0.8406100000000001,274.6126184,43.800589599999995,NULL,10000,9,20000
0,STC_Dilation,ALL_AVERAGE,0.8484332000000001,113.46602960000001,15.026090799999999,NULL,10000,11,
0,STC_Dilation,ALL_AVERAGE,0.849852,124.93520559999999,18.530811200000002,NULL,10000,11,1000
0,STC_Dilation,ALL_AVERAGE,0.8404884,210.98841400000003,32.8091736,NULL,10000,11,3000
0,STC_Dilation,ALL_AVERAGE,0.8457128,243.53504239999998,38.000836400000004,NULL,10000,11,5000
0,STC_Dilation,ALL_AVERAGE,0.8499896,250.02679239999998,38.883516799999995,NULL,10000,11,10000
0,STC_Dilation,ALL_AVERAGE,0.8426899999999999,251.25635839999998,38.9389792,NULL,10000,11,20000
0,STC_Dilation,ALL_AVERAGE,0.8555347999999999,130.0730656,11.7886184,NULL,15000,,
0,STC_Dilation,ALL_AVERAGE,0.8586376,130.4688764,11.925659199999998,NULL,15000,,1000
0,STC_Dilation,ALL_AVERAGE,0.8547496000000001,136.6151228,12.9465264,NULL,15000,,3000
0,STC_Dilation,ALL_AVERAGE,0.8462904,137.4789916,13.0541072,NULL,15000,,5000
0,STC_Dilation,ALL_AVERAGE,0.8394752,136.68920119999999,13.017464799999997,NULL,15000,,10000
0,STC_Dilation,ALL_AVERAGE,0.8576712000000001,137.7587976,13.027545200000002,NULL,15000,,20000
0,STC_Dilation,ALL_AVERAGE,0.8294992000000001,139.0351416,15.1345316,NULL,15000,7,
0,STC_Dilation,ALL_AVERAGE,0.8363240000000001,154.3802716,19.873512400000003,NULL,15000,7,1000
0,STC_Dilation,ALL_AVERAGE,0.8421827999999999,268.40359359999997,38.3646252,NULL,15000,7,3000
0,STC_Dilation,ALL_AVERAGE,0.8406708,356.5056156,62.0731412,NULL,15000,7,5000
0,STC_Dilation,ALL_AVERAGE,0.8304044,629.3979532000001,93.2525784,NULL,15000,7,10000
