,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_shapelet_samples,max_shapelet_length,max_shapelets
25,STC_Dilation,ALL_AVERAGE,0.8142896,610.8895604,89.5792088,NULL,15000,7,20000
25,STC_Dilation,ALL_AVERAGE,0.8157728,314.1124708,34.5354276,NULL,20000,7,1000
25,STC_Dilation,ALL_AVERAGE,0.82125,201.3142136,27.5953392,NULL,10000,7,
25,STC_Dilation,ALL_AVERAGE,0.8216324,200.323494,27.4973084,NULL,10000,11,
25,STC_Dilation,ALL_AVERAGE,0.8241856,286.7431892,25.8556796,NULL,20000,9,
25,STC_Dilation,ALL_AVERAGE,0.8247436,530.0432368,89.8829236,NULL,10000,7,20000
25,STC_Dilation,ALL_AVERAGE,0.8247496,242.7457132,26.5849604,NULL,15000,7,
25,STC_Dilation,ALL_AVERAGE,0.825942,495.46203,83.0455904,NULL,10000,7,5000
25,STC_Dilation,ALL_AVERAGE,0.8263312,197.7910452,27.3817696,NULL,10000,9,
25,STC_Dilation,ALL_AVERAGE,0.8265616,319.688756,24.782514,NULL,25000,11,
25,STC_Dilation,ALL_AVERAGE,0.8269928,292.8344312,26.716444,NULL,20000,7,
25,STC_Dilation,ALL_AVERAGE,0.8273152,387.6150136,26.7634112,NULL,30000,11,
25,STC_Dilation,ALL_AVERAGE,0.8273828,862.810906,97.8978112,NULL,30000,7,10000
25,STC_Dilation,ALL_AVERAGE,0.8281852,239.7391384,26.4585928,NULL,15000,9,
25,STC_Dilation,ALL_AVERAGE,0.8283276,387.123862,26.4434144,NULL,30000,9,
25,STC_Dilation,ALL_AVERAGE,0.8292776,501.366932,62.6668124,NULL,20000,7,3000
25,STC_Dilation,ALL_AVERAGE,0.8293416,382.4169884,25.9590224,NULL,30000,7,
25,STC_Dilation,ALL_AVERAGE,0.8293832,544.0730576,82.0169912,NULL,15000,9,10000
25,STC_Dilation,ALL_AVERAGE,0.829904,647.7521956,67.432936,NULL,30000,7,3000
25,STC_Dilation,ALL_AVERAGE,0.8300584,386.8030628,63.4785348,NULL,10000,9,3000
25,STC_Dilation,ALL_AVERAGE,0.8303744,789.6043468,87.4338956,NULL,30000,9,20000
25,STC_Dilation,ALL_AVERAGE,0.8304276,239.0034392,26.3930216,NULL,15000,11,
25,STC_Dilation,ALL_AVERAGE,0.8305396,697.8922272,74.5358136,NULL,30000,11,5000
25,STC_Dilation,ALL_AVERAGE,0.8307128,326.9364844,24.2404372,NULL,25000,7,
25,STC_Dilation,ALL_AVERAGE,0.8310412,767.8836096,85.450272,NULL,30000,7,5000
25,STC_Dilation,ALL_AVERAGE,0.8310988,685.0111576,91.1405448,NULL,20000,7,10000
25,STC_Dilation,ALL_AVERAGE,0.8315028,770.0408892,96.9574436,NULL,25000,7,20000
25,STC_Dilation,ALL_AVERAGE,0.8319692,313.1695332,33.8582908,NULL,20000,9,1000
25,STC_Dilation,ALL_AVERAGE,0.8325452,289.0927792,26.0480364,NULL,20000,11,
25,STC_Dilation,ALL_AVERAGE,0.8325816,702.4139324,82.635312,NULL,25000,9,10000
25,STC_Dilation,ALL_AVERAGE,0.8328128,436.8857132,71.6145196,NULL,10000,11,10000
25,STC_Dilation,ALL_AVERAGE,0.8328216,565.0696796,73.9310644,NULL,20000,11,20000
25,STC_Dilation,ALL_AVERAGE,0.8329792,611.16599,61.3560408,NULL,30000,11,3000
25,STC_Dilation,ALL_AVERAGE,0.8330336,690.435284,92.3498256,NULL,20000,7,20000
25,STC_Dilation,ALL_AVERAGE,0.8331556,663.491454,80.603136,NULL,25000,7,5000
25,STC_Dilation,ALL_AVERAGE,0.8332212,413.113118,35.0635828,NULL,30000,7,1000
25,STC_Dilation,ALL_AVERAGE,0.8332708,267.3157904,34.3084936,NULL,15000,7,1000
25,STC_Dilation,ALL_AVERAGE,0.83407,630.0287304,82.4348156,NULL,20000,7,5000
25,STC_Dilation,ALL_AVERAGE,0.8348524,490.0302512,64.9195416,NULL,20000,9,3000
25,STC_Dilation,ALL_AVERAGE,0.83515,372.3342996,35.5749828,NULL,25000,7,1000
25,STC_Dilation,ALL_AVERAGE,0.8352276,543.7736084,62.3770404,NULL,25000,9,3000
25,STC_Dilation,ALL_AVERAGE,0.8353536,474.1388388,78.9183056,NULL,10000,9,10000
25,STC_Dilation,ALL_AVERAGE,0.8357456,330.4114904,25.6716184,NULL,25000,9,
25,STC_Dilation,ALL_AVERAGE,0.8357808,628.5866052,71.9260476,NULL,25000,9,5000
25,STC_Dilation,ALL_AVERAGE,0.8364432,625.1241364,79.0140872,NULL,20000,9,10000
25,STC_Dilation,ALL_AVERAGE,0.8370732,540.7687972,69.3727512,NULL,20000,11,5000
25,STC_Dilation,ALL_AVERAGE,0.8371628,770.1491092,95.8135592,NULL,25000,7,10000
25,STC_Dilation,ALL_AVERAGE,0.8373484,478.8397424,61.756612,NULL,20000,11,3000
25,STC_Dilation,ALL_AVERAGE,0.837848,612.8617584,81.7888144,NULL,20000,9,20000
25,STC_Dilation,ALL_AVERAGE,0.8380512,582.2803844,77.1916912,NULL,20000,9,5000
25,STC_Dilation,ALL_AVERAGE,0.8381636,226.3764916,36.3518248,NULL,10000,7,1000
25,STC_Dilation,ALL_AVERAGE,0.8384684,563.075922,82.6449128,NULL,15000,7,5000
25,STC_Dilation,ALL_AVERAGE,0.8388576,263.5794992,32.3194488,NULL,15000,11,1000
25,STC_Dilation,ALL_AVERAGE,0.8389084,221.134806,19.6325296,NULL,15000,,
25,STC_Dilation,ALL_AVERAGE,0.8389944,642.822552,71.5160348,NULL,25000,11,20000
25,STC_Dilation,ALL_AVERAGE,0.8389996,455.1411396,75.8956128,NULL,10000,9,5000
25,STC_Dilation,ALL_AVERAGE,0.8394632,536.2975476,90.406492,NULL,10000,7,10000
25,STC_Dilation,ALL_AVERAGE,0.8394636,294.141602,23.1467904,NULL,20000,,20000
25,STC_Dilation,ALL_AVERAGE,0.839678,692.129508,77.453602,NULL,25000,9,20000
25,STC_Dilation,ALL_AVERAGE,0.8402112,717.5102508,72.4435848,NULL,30000,11,20000
25,STC_Dilation,ALL_AVERAGE,0.8402232,219.682808,33.7962888,NULL,10000,11,1000
25,STC_Dilation,ALL_AVERAGE,0.8402396,617.4535808,94.4244136,NULL,15000,7,10000
25,STC_Dilation,ALL_AVERAGE,0.8403028,421.3422428,34.076988,NULL,30000,9,1000
25,STC_Dilation,ALL_AVERAGE,0.8403388,196.5373112,25.1374772,NULL,10000,,3000
25,STC_Dilation,ALL_AVERAGE,0.8405204,418.4835112,33.1229872,NULL,30000,11,1000
25,STC_Dilation,ALL_AVERAGE,0.8407908,779.908088,86.50559,NULL,30000,9,10000
