,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,max_dilation_size,n_estimators,n_intervals
0,TSF,ArrowHead,0.69714,1.31097,1.22679,9000,0.04299,0.8683199999999994,0.28681,-1.0,-1.0,base clf,-1,200,-1
1,TSF,Beef,0.8,1.82255,1.22783,12600,0.06383,1.2501299999999995,0.3937800000000001,-1.0,-1.0,base clf,-1,200,-1
2,TSF,BeetleFly,0.8,1.63627,1.25215,13200,0.0639,1.235569999999999,0.22332999999999972,-1.0,-1.0,base clf,-1,200,-1
3,TSF,BirdChicken,0.9,1.62011,1.28689,13200,0.06447,1.2337000000000002,0.21415000000000006,-1.0,-1.0,base clf,-1,200,-1
4,TSF,Car,0.75,2.67569,1.72867,14400,0.07192,1.75214,0.7364800000000002,-1.0,-1.0,base clf,-1,200,-1
5,TSF,CBF,0.98667,0.96461,1.56957,6600,0.03089,0.5990199999999999,0.21899999999999992,-1.0,-1.0,base clf,-1,200,-1
6,TSF,Coffee,1.0,1.23461,0.90232,9600,0.04655,0.8749300000000001,0.20062000000000013,-1.0,-1.0,base clf,-1,200,-1
7,TSF,DiatomSizeReduction,0.89216,1.32891,2.03046,10800,0.05459,0.95522,0.20881999999999995,-1.0,-1.0,base clf,-1,200,-1
8,TSF,DistalPhalanxOutlineAgeGroup,0.7482,2.36431,0.52081,4800,0.02672,0.65248,1.5724499999999995,-1.0,-1.0,base clf,-1,200,-1
9,TSF,DistalPhalanxOutlineCorrect,0.76449,4.10558,0.60853,4800,0.02468,0.76622,3.19455,-1.0,-1.0,base clf,-1,200,-1
10,TSF,DistalPhalanxTW,0.69784,2.83129,0.55011,4800,0.02421,0.6708399999999999,2.0208999999999984,-1.0,-1.0,base clf,-1,200,-1
11,TSF,ECG200,0.86,1.0676,0.56732,5400,0.0261,0.5384299999999999,0.3933500000000001,-1.0,-1.0,base clf,-1,200,-1
12,TSF,ECGFiveDays,0.96516,0.90186,1.52105,6600,0.03416,0.5782499999999997,0.18114999999999984,-1.0,-1.0,base clf,-1,200,-1
13,TSF,ItalyPowerDemand,0.96404,0.53024,0.4419,2400,0.01191,0.21854000000000007,0.19437999999999994,-1.0,-1.0,base clf,-1,200,-1
14,TSF,MiddlePhalanxOutlineAgeGroup,0.55195,2.66332,0.54506,4800,0.02608,0.6898999999999998,1.8262500000000015,-1.0,-1.0,base clf,-1,200,-1
15,TSF,MiddlePhalanxOutlineCorrect,0.81443,4.2123,0.60847,4800,0.02304,0.7605399999999995,3.317209999999998,-1.0,-1.0,base clf,-1,200,-1
16,TSF,MiddlePhalanxTW,0.53896,3.75388,0.53835,4800,0.02372,0.6826900000000002,2.926629999999999,-1.0,-1.0,base clf,-1,200,-1
