,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,max_dilation_size,n_estimators,n_intervals
0,TSF,ArrowHead,0.72571,1.29443,1.24271,9000,0.04617,0.8622700000000005,0.27684999999999993,-1.0,-1.0,base clf,-1,-1,-1
1,TSF,Beef,0.8,1.74718,1.22058,12600,0.06198,1.1999200000000003,0.37702999999999987,-1.0,-1.0,base clf,-1,-1,-1
2,TSF,BeetleFly,0.8,1.71433,1.20857,13200,0.06871,1.298770000000001,0.22686999999999985,-1.0,-1.0,base clf,-1,-1,-1
3,TSF,BirdChicken,0.9,1.68728,1.27249,13200,0.12102,1.2403999999999995,0.21696000000000007,-1.0,-1.0,base clf,-1,-1,-1
4,TSF,Car,0.75,2.56091,1.63011,14400,0.07058,1.6479699999999995,0.7313999999999998,-1.0,-1.0,base clf,-1,-1,-1
5,TSF,CBF,0.98778,0.89602,1.43248,6600,0.03117,0.55918,0.20254999999999998,-1.0,-1.0,base clf,-1,-1,-1
6,TSF,Coffee,1.0,1.29937,0.95923,9600,0.04725,0.9358,0.2028399999999998,-1.0,-1.0,base clf,-1,-1,-1
7,TSF,DiatomSizeReduction,0.87908,1.30997,1.99474,10800,0.05175,0.9538399999999999,0.19712000000000016,-1.0,-1.0,base clf,-1,-1,-1
8,TSF,DistalPhalanxOutlineAgeGroup,0.73381,2.39078,0.53538,4800,0.02314,0.6666400000000002,1.5865000000000002,-1.0,-1.0,base clf,-1,-1,-1
9,TSF,DistalPhalanxOutlineCorrect,0.76087,3.98216,0.59734,4800,0.02415,0.7594399999999996,3.082920000000002,-1.0,-1.0,base clf,-1,-1,-1
10,TSF,DistalPhalanxTW,0.71223,2.81143,0.52402,4800,0.02366,0.6584200000000001,2.01284,-1.0,-1.0,base clf,-1,-1,-1
11,TSF,ECG200,0.87,1.11855,0.56468,5400,0.03134,0.5615900000000003,0.40883000000000036,-1.0,-1.0,base clf,-1,-1,-1
12,TSF,ECGFiveDays,0.96516,0.9018,1.49994,6600,0.03225,0.5785999999999999,0.1823299999999999,-1.0,-1.0,base clf,-1,-1,-1
13,TSF,ItalyPowerDemand,0.9689,0.5384,0.45431,2400,0.01191,0.21975999999999996,0.1967899999999999,-1.0,-1.0,base clf,-1,-1,-1
14,TSF,MiddlePhalanxOutlineAgeGroup,0.52597,2.67033,0.53685,4800,0.02451,0.6793899999999997,1.852619999999999,-1.0,-1.0,base clf,-1,-1,-1
