,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,max_dilation_size,n_estimators,n_intervals
0,TSF,ArrowHead,0.71429,1.25246,1.20582,9000,0.04205,0.8165300000000002,0.2816000000000003,-1.0,-1.0,base clf,-1,-1,-1
1,TSF,Beef,0.8,1.77447,1.22184,12600,0.06646,1.2176200000000004,0.38069999999999987,-1.0,-1.0,base clf,-1,-1,-1
2,TSF,BeetleFly,0.75,1.65094,1.28499,13200,0.06461,1.2581200000000003,0.21684,-1.0,-1.0,base clf,-1,-1,-1
3,TSF,BirdChicken,0.9,1.59808,1.24662,13200,0.06373,1.2094399999999998,0.2162,-1.0,-1.0,base clf,-1,-1,-1
4,TSF,Car,0.76667,2.55488,1.61864,14400,0.07556,1.6325200000000009,0.7279099999999998,-1.0,-1.0,base clf,-1,-1,-1
5,TSF,CBF,0.99111,0.93802,1.50427,6600,0.03135,0.58342,0.21258999999999983,-1.0,-1.0,base clf,-1,-1,-1
6,TSF,Coffee,1.0,1.29145,0.93906,9600,0.04776,0.9178599999999997,0.20910000000000012,-1.0,-1.0,base clf,-1,-1,-1
7,TSF,DiatomSizeReduction,0.87908,1.30611,1.94318,10800,0.0564,0.9421600000000001,0.19874,-1.0,-1.0,base clf,-1,-1,-1
8,TSF,DistalPhalanxOutlineAgeGroup,0.76978,2.46567,0.53168,4800,0.02318,0.6796,1.6319799999999998,-1.0,-1.0,base clf,-1,-1,-1
9,TSF,DistalPhalanxOutlineCorrect,0.75,3.99849,0.61833,4800,0.02385,0.7659900000000003,3.0933300000000004,-1.0,-1.0,base clf,-1,-1,-1
10,TSF,DistalPhalanxTW,0.70504,2.88754,0.55113,4800,0.0242,0.6827799999999999,2.05726,-1.0,-1.0,base clf,-1,-1,-1
11,TSF,ECG200,0.86,1.11167,0.5777,5400,0.02725,0.55783,0.4082500000000003,-1.0,-1.0,base clf,-1,-1,-1
12,TSF,ECGFiveDays,0.96864,0.93233,1.54342,6600,0.03415,0.5930699999999999,0.19071999999999997,-1.0,-1.0,base clf,-1,-1,-1
13,TSF,ItalyPowerDemand,0.96599,0.57344,0.46124,2400,0.01322,0.23722000000000007,0.20811,-1.0,-1.0,base clf,-1,-1,-1
14,TSF,MiddlePhalanxOutlineAgeGroup,0.55844,2.63155,0.55157,4800,0.02439,0.6759099999999998,1.81872,-1.0,-1.0,base clf,-1,-1,-1
15,TSF,MiddlePhalanxOutlineCorrect,0.82131,4.25333,0.65491,4800,0.02433,0.7817900000000001,3.325160000000001,-1.0,-1.0,base clf,-1,-1,-1
16,TSF,MiddlePhalanxTW,0.55195,3.73752,0.54946,4800,0.02396,0.6825000000000004,2.905120000000001,-1.0,-1.0,base clf,-1,-1,-1
17,TSF,OliveOil,0.86667,2.07941,1.42423,13800,0.13173,1.4983699999999998,0.32351,-1.0,-1.0,base clf,-1,-1,-1
18,TSF,Plane,1.0,1.54475,0.77891,7200,0.0369,0.76934,0.62172,-1.0,-1.0,base clf,-1,-1,-1
19,TSF,ProximalPhalanxOutlineAgeGroup,0.84878,2.55232,0.57962,4800,0.0238,0.6770900000000003,1.7268399999999997,-1.0,-1.0,base clf,-1,-1,-1
20,TSF,ProximalPhalanxOutlineCorrect,0.8488,3.83987,0.63209,4800,0.02405,0.7680099999999997,2.9246999999999987,-1.0,-1.0,base clf,-1,-1,-1
21,TSF,ProximalPhalanxTW,0.81463,2.94133,0.59553,4800,0.02357,0.6805300000000002,2.1125199999999995,-1.0,-1.0,base clf,-1,-1,-1
22,TSF,SyntheticControl,0.98667,1.88943,0.54277,4200,0.02079,0.51517,1.23578,-1.0,-1.0,base clf,-1,-1,-1
23,TSF,TwoLeadECG,0.78753,0.78175,1.2295,5400,0.04331,0.4484999999999999,0.18070000000000006,-1.0,-1.0,base clf,-1,-1,-1
24,TSF,Wine,0.57407,1.43415,0.92973,9000,0.04633,0.9072399999999997,0.37228,-1.0,-1.0,base clf,-1,-1,-1
0,TSF_Dilation,ArrowHead,0.77143,0.48869,0.36781,3000,0.02034,0.2749100000000001,0.13215999999999997,1.0,1.0,"[3, 4, 5, 6]",2,100,10
1,TSF_Dilation,Beef,0.73333,0.45539,0.26063,3000,0.01825,0.24834999999999996,0.13291,1.0,1.0,"[3, 4, 5, 6]",2,100,10
2,TSF_Dilation,BeetleFly,0.95,0.41433,0.30216,3000,0.01845,0.24500000000000008,0.09409999999999999,1.0,1.0,"[3, 4, 5, 6]",2,100,10
3,TSF_Dilation,BirdChicken,0.75,0.41259,0.24694,3000,0.02118,0.24085999999999994,0.09170000000000002,1.0,1.0,"[3, 4, 5, 6]",2,100,10
4,TSF_Dilation,Car,0.78333,0.55998,0.29182,3000,0.0196,0.2718,0.20937999999999998,1.0,1.0,"[3, 4, 5, 6]",2,100,10
5,TSF_Dilation,CBF,0.92556,0.43945,0.50794,3000,0.01736,0.24638,0.11674000000000001,1.0,1.0,"[3, 4, 5, 6]",2,100,10
6,TSF_Dilation,Coffee,1.0,0.41889,0.25754,3000,0.01786,0.24632999999999988,0.09641,1.0,1.0,"[3, 4, 5, 6]",2,100,10
7,TSF_Dilation,DiatomSizeReduction,0.93137,0.39553,0.37488,3000,0.0176,0.23085999999999995,0.09054000000000001,1.0,1.0,"[3, 4, 5, 6]",2,100,10
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.7482,1.40319,0.3014,3000,0.01757,0.34939000000000003,0.9759499999999999,1.0,1.0,"[3, 4, 5, 6]",2,100,10
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.77536,2.32949,0.32816,3000,0.01722,0.39266,1.85642,1.0,1.0,"[3, 4, 5, 6]",2,100,10
10,TSF_Dilation,DistalPhalanxTW,0.66906,1.70355,0.30741,3000,0.01857,0.36001999999999995,1.2635800000000001,1.0,1.0,"[3, 4, 5, 6]",2,100,10
11,TSF_Dilation,ECG200,0.85,0.58332,0.29002,3000,0.01865,0.2844399999999999,0.21672999999999998,1.0,1.0,"[3, 4, 5, 6]",2,100,10
12,TSF_Dilation,ECGFiveDays,0.93961,0.41159,0.49228,3000,0.01717,0.23947000000000007,0.09827999999999995,1.0,1.0,"[3, 4, 5, 6]",2,100,10
13,TSF_Dilation,ItalyPowerDemand,0.97182,0.46617,0.49739,3000,0.01677,0.2562999999999999,0.13521000000000005,1.0,1.0,"[3, 4, 5, 6]",2,100,10
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.5974,1.51506,0.30439,3000,0.01684,0.3553299999999999,1.0881500000000004,1.0,1.0,"[3, 4, 5, 6]",2,100,10
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.82474,2.42403,0.3388,3000,0.01759,0.3985600000000001,1.9448099999999993,1.0,1.0,"[3, 4, 5, 6]",2,100,10
16,TSF_Dilation,MiddlePhalanxTW,0.55844,2.1952,0.30659,3000,0.01739,0.3573300000000001,1.75335,1.0,1.0,"[3, 4, 5, 6]",2,100,10
17,TSF_Dilation,OliveOil,0.93333,0.45455,0.26605,3000,0.01805,0.2572500000000001,0.11905999999999999,1.0,1.0,"[3, 4, 5, 6]",2,100,10
18,TSF_Dilation,Plane,1.0,0.64217,0.29181,3000,0.01827,0.2787600000000001,0.28820999999999997,1.0,1.0,"[3, 4, 5, 6]",2,100,10
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.84878,1.46094,0.31807,3000,0.01739,0.3508599999999999,1.0347500000000003,1.0,1.0,"[3, 4, 5, 6]",2,100,10
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.8866,2.25867,0.3427,3000,0.01721,0.41267000000000004,1.7578499999999997,1.0,1.0,"[3, 4, 5, 6]",2,100,10
21,TSF_Dilation,ProximalPhalanxTW,0.80488,1.70907,0.31911,3000,0.01835,0.35503,1.2797199999999997,1.0,1.0,"[3, 4, 5, 6]",2,100,10
