,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,max_dilation_size,n_estimators,n_intervals
0,TSF,ArrowHead,0.74286,1.22879,1.18539,9000,0.04118,0.8080800000000007,0.2730099999999998,-1.0,-1.0,base clf,-1,-1,-1
1,TSF,Beef,0.76667,1.79833,1.25379,12600,0.06236,1.2387099999999998,0.38711999999999996,-1.0,-1.0,base clf,-1,-1,-1
2,TSF,BeetleFly,0.7,1.65746,1.22846,13200,0.06707,1.2412599999999994,0.22710000000000002,-1.0,-1.0,base clf,-1,-1,-1
3,TSF,BirdChicken,0.9,1.61019,1.25588,13200,0.06364,1.22601,0.21257999999999985,-1.0,-1.0,base clf,-1,-1,-1
4,TSF,Car,0.76667,2.51648,1.71722,14400,0.07154,1.62793,0.7099400000000005,-1.0,-1.0,base clf,-1,-1,-1
5,TSF,CBF,0.99111,0.93259,1.51094,6600,0.03357,0.56922,0.22099999999999997,-1.0,-1.0,base clf,-1,-1,-1
6,TSF,Coffee,1.0,1.20286,0.88536,9600,0.04825,0.8562199999999999,0.19202000000000016,-1.0,-1.0,base clf,-1,-1,-1
7,TSF,DiatomSizeReduction,0.89869,1.36216,2.06824,10800,0.05429,0.9763100000000003,0.21308000000000016,-1.0,-1.0,base clf,-1,-1,-1
8,TSF,DistalPhalanxOutlineAgeGroup,0.76259,2.42532,0.55144,4800,0.02527,0.6714900000000001,1.6026000000000002,-1.0,-1.0,base clf,-1,-1,-1
9,TSF,DistalPhalanxOutlineCorrect,0.75725,3.98655,0.62092,4800,0.02484,0.7666100000000001,3.0810699999999986,-1.0,-1.0,base clf,-1,-1,-1
10,TSF,DistalPhalanxTW,0.71223,2.85365,0.55227,4800,0.02568,0.6833199999999998,2.023529999999999,-1.0,-1.0,base clf,-1,-1,-1
11,TSF,ECG200,0.87,1.04855,0.55225,5400,0.02471,0.5241100000000001,0.3922499999999998,-1.0,-1.0,base clf,-1,-1,-1
12,TSF,ECGFiveDays,0.97096,0.89887,1.51183,6600,0.03134,0.5705200000000001,0.18574000000000004,-1.0,-1.0,base clf,-1,-1,-1
13,TSF,ItalyPowerDemand,0.96404,0.52364,0.44649,2400,0.01209,0.21172999999999995,0.19320999999999985,-1.0,-1.0,base clf,-1,-1,-1
14,TSF,MiddlePhalanxOutlineAgeGroup,0.57143,2.60586,0.54232,4800,0.02373,0.6552299999999995,1.8095300000000003,-1.0,-1.0,base clf,-1,-1,-1
15,TSF,MiddlePhalanxOutlineCorrect,0.81443,4.22552,0.63037,4800,0.02353,0.7654699999999993,3.3251,-1.0,-1.0,base clf,-1,-1,-1
16,TSF,MiddlePhalanxTW,0.54545,3.83933,0.55481,4800,0.02513,0.6961600000000002,2.9843199999999985,-1.0,-1.0,base clf,-1,-1,-1
17,TSF,OliveOil,0.86667,1.84666,1.39285,13800,0.07311,1.3663100000000001,0.2994500000000001,-1.0,-1.0,base clf,-1,-1,-1
18,TSF,Plane,1.0,1.52441,0.78379,7200,0.03594,0.7671399999999997,0.6132199999999998,-1.0,-1.0,base clf,-1,-1,-1
19,TSF,ProximalPhalanxOutlineAgeGroup,0.85366,2.49563,0.59607,4800,0.02329,0.6592000000000007,1.6987800000000004,-1.0,-1.0,base clf,-1,-1,-1
20,TSF,ProximalPhalanxOutlineCorrect,0.84536,3.84033,0.63738,4800,0.02236,0.7756000000000004,2.9327199999999993,-1.0,-1.0,base clf,-1,-1,-1
21,TSF,ProximalPhalanxTW,0.8,2.89767,0.57948,4800,0.02384,0.6643400000000003,2.0921799999999995,-1.0,-1.0,base clf,-1,-1,-1
22,TSF,SyntheticControl,0.99,1.87894,0.54446,4200,0.02181,0.5174200000000004,1.2235800000000001,-1.0,-1.0,base clf,-1,-1,-1
23,TSF,TwoLeadECG,0.80509,0.79682,1.25917,5400,0.0281,0.4716899999999998,0.18713000000000002,-1.0,-1.0,base clf,-1,-1,-1
24,TSF,Wine,0.72222,1.50648,0.90302,9000,0.05112,0.9356399999999999,0.39701,-1.0,-1.0,base clf,-1,-1,-1
0,TSF_Dilation,ArrowHead,0.76,1.18922,0.91542,9000,0.05677,0.7340900000000006,0.2848599999999998,1.0,1.0,"[3, 4, 5, 6]",2,200,0
1,TSF_Dilation,Beef,0.8,1.56872,1.0474,12600,0.07697,1.01038,0.3698399999999999,1.0,1.0,"[3, 4, 5, 6]",2,200,0
2,TSF_Dilation,BeetleFly,0.95,1.40135,1.01924,13200,0.06976,0.9916600000000002,0.22492000000000015,1.0,1.0,"[3, 4, 5, 6]",2,200,0
3,TSF_Dilation,BirdChicken,0.85,1.41961,1.04443,13200,0.0796,1.0122199999999992,0.21595000000000023,1.0,1.0,"[3, 4, 5, 6]",2,200,0
4,TSF_Dilation,Car,0.76667,2.11196,1.22758,14400,0.08649,1.2206599999999994,0.6941400000000003,1.0,1.0,"[3, 4, 5, 6]",2,200,0
5,TSF_Dilation,CBF,0.94333,0.89225,1.06622,6600,0.0376,0.5267500000000005,0.22007999999999986,1.0,1.0,"[3, 4, 5, 6]",2,200,0
6,TSF_Dilation,Coffee,1.0,1.14064,0.81816,9600,0.06044,0.7678400000000001,0.20113999999999974,1.0,1.0,"[3, 4, 5, 6]",2,200,0
7,TSF_Dilation,DiatomSizeReduction,0.93464,1.19811,1.26145,10800,0.06288,0.8296700000000011,0.19843000000000016,1.0,1.0,"[3, 4, 5, 6]",2,200,0
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.76978,2.38357,0.49611,4800,0.02836,0.56185,1.6812599999999998,1.0,1.0,"[3, 4, 5, 6]",2,200,0
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.77899,3.82321,0.54456,4800,0.02878,0.6378900000000004,3.043100000000001,1.0,1.0,"[3, 4, 5, 6]",2,200,0
10,TSF_Dilation,DistalPhalanxTW,0.66906,2.75871,0.48887,4800,0.02805,0.5550500000000002,2.06785,1.0,1.0,"[3, 4, 5, 6]",2,200,0
11,TSF_Dilation,ECG200,0.87,1.02742,0.51487,5400,0.03007,0.48821999999999977,0.3939800000000001,1.0,1.0,"[3, 4, 5, 6]",2,200,0
12,TSF_Dilation,ECGFiveDays,0.96864,0.88149,1.08945,6600,0.03671,0.5473200000000001,0.18772999999999987,1.0,1.0,"[3, 4, 5, 6]",2,200,0
13,TSF_Dilation,ItalyPowerDemand,0.96793,0.52807,0.43361,2400,0.01564,0.2106400000000003,0.1936499999999999,1.0,1.0,"[3, 4, 5, 6]",2,200,0
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.5974,2.53672,0.52377,4800,0.02785,0.57004,1.826000000000001,1.0,1.0,"[3, 4, 5, 6]",2,200,0
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.82818,4.01622,0.55679,4800,0.02752,0.6444700000000002,3.22597,1.0,1.0,"[3, 4, 5, 6]",2,200,0
16,TSF_Dilation,MiddlePhalanxTW,0.55844,3.5164,0.49218,4800,0.02785,0.5574399999999998,2.8184099999999983,1.0,1.0,"[3, 4, 5, 6]",2,200,0
17,TSF_Dilation,OliveOil,0.93333,1.60186,1.1296,13800,0.07721,1.1020800000000006,0.3130500000000001,1.0,1.0,"[3, 4, 5, 6]",2,200,0
18,TSF_Dilation,Plane,1.0,1.50434,0.67388,7200,0.04177,0.6688500000000003,0.6793700000000001,1.0,1.0,"[3, 4, 5, 6]",2,200,0
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.86341,2.4696,0.52037,4800,0.02759,0.5635999999999999,1.765409999999999,1.0,1.0,"[3, 4, 5, 6]",2,200,0
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.88316,3.7185,0.55631,4800,0.028,0.6353799999999996,2.9416699999999985,1.0,1.0,"[3, 4, 5, 6]",2,200,0
21,TSF_Dilation,ProximalPhalanxTW,0.82927,2.88957,0.50395,4800,0.06444,0.55426,2.146909999999999,1.0,1.0,"[3, 4, 5, 6]",2,200,0
22,TSF_Dilation,SyntheticControl,0.99,2.10997,0.50042,4200,0.02442,0.46971999999999975,1.5022600000000008,1.0,1.0,"[3, 4, 5, 6]",2,200,0
23,TSF_Dilation,TwoLeadECG,0.87006,0.78409,1.00725,5400,0.03226,0.43929999999999986,0.19874000000000003,1.0,1.0,"[3, 4, 5, 6]",2,200,0
24,TSF_Dilation,Wine,0.83333,1.32715,0.79507,9000,0.05167,0.7925100000000002,0.36811999999999967,1.0,1.0,"[3, 4, 5, 6]",2,200,0
0,TSF_Dilation,ArrowHead,0.78857,1.2264,1.01131,9000,0.05002,0.7635800000000004,0.2950899999999999,1.0,1.0,"[3, 7, 9, 11]",2,200,0
1,TSF_Dilation,Beef,0.8,1.62278,1.05942,12600,0.09294,1.0238000000000005,0.38362000000000007,1.0,1.0,"[3, 7, 9, 11]",2,200,0
2,TSF_Dilation,BeetleFly,0.95,1.52699,1.05915,13200,0.11346,1.0590300000000006,0.23099000000000006,1.0,1.0,"[3, 7, 9, 11]",2,200,0
3,TSF_Dilation,BirdChicken,0.85,1.44533,1.05162,13200,0.07134,1.0301,0.22509,1.0,1.0,"[3, 7, 9, 11]",2,200,0
4,TSF_Dilation,Car,0.71667,2.19272,1.24983,14400,0.08628,1.2655100000000006,0.7203000000000008,1.0,1.0,"[3, 7, 9, 11]",2,200,0
5,TSF_Dilation,CBF,0.97222,0.93744,1.15691,6600,0.03835,0.56698,0.2212599999999999,1.0,1.0,"[3, 7, 9, 11]",2,200,0
6,TSF_Dilation,Coffee,1.0,1.12684,0.8046,9600,0.05158,0.7760999999999992,0.19073000000000012,1.0,1.0,"[3, 7, 9, 11]",2,200,0
7,TSF_Dilation,DiatomSizeReduction,0.9281,1.20167,1.29238,10800,0.05755,0.8385000000000008,0.1997900000000003,1.0,1.0,"[3, 7, 9, 11]",2,200,0
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.7554,2.41553,0.52719,4800,0.02863,0.6065500000000001,1.6626500000000002,1.0,1.0,"[3, 7, 9, 11]",2,200,0
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.78261,3.96345,0.56998,4800,0.02803,0.6827399999999997,3.1171700000000016,1.0,1.0,"[3, 7, 9, 11]",2,200,0
10,TSF_Dilation,DistalPhalanxTW,0.70504,2.76727,0.48571,4800,0.02739,0.57298,2.057600000000001,1.0,1.0,"[3, 7, 9, 11]",2,200,0
11,TSF_Dilation,ECG200,0.89,1.0821,0.54095,5400,0.03354,0.5347800000000004,0.40085000000000004,1.0,1.0,"[3, 7, 9, 11]",2,200,0
12,TSF_Dilation,ECGFiveDays,0.97329,0.87584,1.13903,6600,0.04046,0.54176,0.18435999999999986,1.0,1.0,"[3, 7, 9, 11]",2,200,0
13,TSF_Dilation,ItalyPowerDemand,0.96404,0.52721,0.44396,2400,0.01542,0.2125900000000002,0.1930299999999999,1.0,1.0,"[3, 7, 9, 11]",2,200,0
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.58442,2.57476,0.50863,4800,0.03122,0.5937899999999999,1.8201300000000002,1.0,1.0,"[3, 7, 9, 11]",2,200,0
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.84192,4.13877,0.58309,4800,0.03205,0.6952200000000007,3.289789999999999,1.0,1.0,"[3, 7, 9, 11]",2,200,0
16,TSF_Dilation,MiddlePhalanxTW,0.50649,3.59517,0.54627,4800,0.0295,0.5907700000000001,2.8667700000000007,1.0,1.0,"[3, 7, 9, 11]",2,200,0
17,TSF_Dilation,OliveOil,0.93333,1.60525,1.14653,13800,0.07507,1.12203,0.30091000000000007,1.0,1.0,"[3, 7, 9, 11]",2,200,0
18,TSF_Dilation,Plane,1.0,1.52844,0.70735,7200,0.04161,0.6886299999999999,0.6748899999999995,1.0,1.0,"[3, 7, 9, 11]",2,200,0
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.85366,2.46577,0.53926,4800,0.02971,0.5934499999999999,1.7293599999999996,1.0,1.0,"[3, 7, 9, 11]",2,200,0
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.87629,3.79299,0.57756,4800,0.0276,0.6834600000000001,2.9672799999999997,1.0,1.0,"[3, 7, 9, 11]",2,200,0
21,TSF_Dilation,ProximalPhalanxTW,0.81463,2.85552,0.54119,4800,0.02779,0.5740999999999999,2.14267,1.0,1.0,"[3, 7, 9, 11]",2,200,0
22,TSF_Dilation,SyntheticControl,0.99,2.04559,0.54162,4200,0.02573,0.5057200000000001,1.4022500000000004,1.0,1.0,"[3, 7, 9, 11]",2,200,0
23,TSF_Dilation,TwoLeadECG,0.91484,0.79418,1.06913,5400,0.03428,0.4668499999999999,0.18309999999999982,1.0,1.0,"[3, 7, 9, 11]",2,200,0
24,TSF_Dilation,Wine,0.72222,1.29282,0.79804,9000,0.05185,0.7841399999999998,0.3477100000000001,1.0,1.0,"[3, 7, 9, 11]",2,200,0
0,TSF_Dilation,ArrowHead,0.72,1.19306,1.00347,9000,0.05255,0.7494400000000001,0.2794900000000001,1.0,1.0,"[3, 10, 20, 30]",2,200,0
1,TSF_Dilation,Beef,0.73333,1.59082,1.07694,12600,0.07764,1.03233,0.36762999999999985,1.0,1.0,"[3, 10, 20, 30]",2,200,0
2,TSF_Dilation,BeetleFly,0.85,1.41998,1.04996,13200,0.07112,1.0281300000000002,0.21429999999999988,1.0,1.0,"[3, 10, 20, 30]",2,200,0
3,TSF_Dilation,BirdChicken,0.85,1.52254,1.1031,13200,0.0811,1.0811199999999999,0.2368899999999999,1.0,1.0,"[3, 10, 20, 30]",2,200,0
4,TSF_Dilation,Car,0.76667,2.25436,1.32221,14400,0.08169,1.3114399999999997,0.7347399999999998,1.0,1.0,"[3, 10, 20, 30]",2,200,0
5,TSF_Dilation,CBF,0.98,0.92768,1.24085,6600,0.03818,0.5528699999999998,0.22166000000000005,1.0,1.0,"[3, 10, 20, 30]",2,200,0
6,TSF_Dilation,Coffee,1.0,1.3002,0.82351,9600,0.08162,0.8791300000000007,0.2189899999999998,1.0,1.0,"[3, 10, 20, 30]",2,200,0
7,TSF_Dilation,DiatomSizeReduction,0.85948,1.26394,1.4359,10800,0.06811,0.8830599999999997,0.20405000000000004,1.0,1.0,"[3, 10, 20, 30]",2,200,0
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.73381,2.51039,0.52175,4800,0.02895,0.6332199999999999,1.725440000000001,1.0,1.0,"[3, 10, 20, 30]",2,200,0
