,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,dilations_per_interval,n_estimators,n_intervals
0,TSF,ArrowHead,0.74286,1.29308,1.23593,45,0.04487,0.8444700000000003,0.2853599999999998,-1.0,-1.0,base clf,-1.0,200,-1
1,TSF,Beef,0.8,1.82666,1.261,63,0.06592,1.2492099999999993,0.39419999999999983,-1.0,-1.0,base clf,-1.0,200,-1
2,TSF,BeetleFly,0.7,1.59232,1.20752,66,0.07668,1.2061,0.2040300000000001,-1.0,-1.0,base clf,-1.0,200,-1
3,TSF,BirdChicken,0.9,1.73332,1.26602,66,0.06477,1.3240600000000005,0.22614999999999993,-1.0,-1.0,base clf,-1.0,200,-1
4,TSF,Car,0.73333,2.64273,1.68027,72,0.07523,1.7157199999999997,0.7348600000000001,-1.0,-1.0,base clf,-1.0,200,-1
5,TSF,CBF,0.99222,1.07483,1.55505,33,0.03237,0.67841,0.23817999999999998,-1.0,-1.0,base clf,-1.0,200,-1
6,TSF,Coffee,1.0,1.2623,0.91629,48,0.05123,0.8948699999999999,0.20246999999999982,-1.0,-1.0,base clf,-1.0,200,-1
7,TSF,DiatomSizeReduction,0.88889,1.32981,1.98208,54,0.05671,0.9563699999999998,0.20771,-1.0,-1.0,base clf,-1.0,200,-1
8,TSF,DistalPhalanxOutlineAgeGroup,0.7482,2.41558,0.55097,24,0.02561,0.6848799999999998,1.5864199999999993,-1.0,-1.0,base clf,-1.0,200,-1
9,TSF,DistalPhalanxOutlineCorrect,0.76812,4.04958,0.6352,24,0.02573,0.7704299999999998,3.1377099999999998,-1.0,-1.0,base clf,-1.0,200,-1
10,TSF,DistalPhalanxTW,0.69065,2.80319,0.52931,24,0.02348,0.6502500000000001,2.0189799999999996,-1.0,-1.0,base clf,-1.0,200,-1
