,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators,n_intervals
0,TSF,ArrowHead,0.72571,1.27704,1.2846,NULL,1.0,1.0,[0],0.0,200,0
1,TSF,Beef,0.83333,1.81502,1.28168,NULL,1.0,1.0,[0],0.0,200,0
2,TSF,BeetleFly,0.85,1.62616,1.28439,NULL,1.0,1.0,[0],0.0,200,0
3,TSF,BirdChicken,0.85,1.66689,1.29892,NULL,1.0,1.0,[0],0.0,200,0
4,TSF,Car,0.73333,2.60084,1.74115,NULL,1.0,1.0,[0],0.0,200,0
5,TSF,CBF,0.99556,0.9404,1.56301,NULL,1.0,1.0,[0],0.0,200,0
6,TSF,Coffee,1.0,1.24499,0.91485,NULL,1.0,1.0,[0],0.0,200,0
7,TSF,DiatomSizeReduction,0.89869,1.3223,2.04988,NULL,1.0,1.0,[0],0.0,200,0
8,TSF,DistalPhalanxOutlineAgeGroup,0.7482,2.3796,0.52736,NULL,1.0,1.0,[0],0.0,200,0
9,TSF,DistalPhalanxOutlineCorrect,0.78261,4.03485,0.6344,NULL,1.0,1.0,[0],0.0,200,0
10,TSF,DistalPhalanxTW,0.71223,2.84811,0.555,NULL,1.0,1.0,[0],0.0,200,0
11,TSF,ECG200,0.85,1.0791,0.58961,NULL,1.0,1.0,[0],0.0,200,0
12,TSF,ECGFiveDays,0.95819,0.87312,1.50275,NULL,1.0,1.0,[0],0.0,200,0
13,TSF,ItalyPowerDemand,0.96307,0.52444,0.46377,NULL,1.0,1.0,[0],0.0,200,0
14,TSF,MiddlePhalanxOutlineAgeGroup,0.57143,2.60191,0.53569,NULL,1.0,1.0,[0],0.0,200,0
15,TSF,MiddlePhalanxOutlineCorrect,0.81787,4.31641,0.64254,NULL,1.0,1.0,[0],0.0,200,0
16,TSF,MiddlePhalanxTW,0.55844,3.76778,0.55729,NULL,1.0,1.0,[0],0.0,200,0
17,TSF,OliveOil,0.86667,1.90808,1.44229,NULL,1.0,1.0,[0],0.0,200,0
18,TSF,Plane,1.0,1.61503,0.78992,NULL,1.0,1.0,[0],0.0,200,0
19,TSF,ProximalPhalanxOutlineAgeGroup,0.84878,2.52809,0.59748,NULL,1.0,1.0,[0],0.0,200,0
20,TSF,ProximalPhalanxOutlineCorrect,0.84536,3.82183,0.62257,NULL,1.0,1.0,[0],0.0,200,0
21,TSF,ProximalPhalanxTW,0.82927,2.89909,0.62363,NULL,1.0,1.0,[0],0.0,200,0
22,TSF,SyntheticControl,0.99,1.89446,0.54441,NULL,1.0,1.0,[0],0.0,200,0
23,TSF,TwoLeadECG,0.77085,0.75263,1.21816,NULL,1.0,1.0,[0],0.0,200,0
24,TSF,Wine,0.7037,1.45638,0.9419,NULL,1.0,1.0,[0],0.0,200,0
0,TSF_Dilation,ArrowHead,0.41143,235.11489,236.69599,9000,1.0,1.0,[0],1.0,200,3000
1,TSF_Dilation,Beef,0.56667,254.30675,167.89081,9000,1.0,1.0,[0],1.0,200,3000
2,TSF_Dilation,BeetleFly,0.6,218.9028,163.56721,9000,1.0,1.0,[0],1.0,200,3000
3,TSF_Dilation,BirdChicken,0.85,225.57129,170.80946,9000,1.0,1.0,[0],1.0,200,3000
4,TSF_Dilation,Car,0.26667,360.54871,205.64805,9000,1.0,1.0,[0],1.0,200,3000
5,TSF_Dilation,CBF,0.94667,200.26501,390.99417,9000,1.0,1.0,[0],1.0,200,3000
6,TSF_Dilation,Coffee,0.92857,209.54228,157.56043,9000,1.0,1.0,[0],1.0,200,3000
7,TSF_Dilation,DiatomSizeReduction,0.92484,202.82554,321.14922,9000,1.0,1.0,[0],1.0,200,3000
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.38129,773.66876,174.79029,9000,1.0,1.0,[0],1.0,200,3000
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,1328.14117,214.32904,9000,1.0,1.0,[0],1.0,200,3000
10,TSF_Dilation,DistalPhalanxTW,0.48921,921.71711,179.10383,9000,1.0,1.0,[0],1.0,200,3000
11,TSF_Dilation,ECG200,0.66,280.88136,176.16543,9000,1.0,1.0,[0],1.0,200,3000
12,TSF_Dilation,ECGFiveDays,0.9698,188.92861,392.08276,9000,1.0,1.0,[0],1.0,200,3000
