,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
0,TSF,ALL_AVERAGE,0.823552,2.0481996000000002,0.9586840000000001,NULL,1,1,None,None,200
0,TSF_Dilation,ALL_AVERAGE,0.7229540000000001,2.393266,0.9522428,7464.0,1.0,1.0,"[3, 7, 9, 11]",1,200
0,TSF_Dilation,ALL_AVERAGE,0.6634816000000001,10.0225136,4.4840104,37320.0,1.0,1.0,"[3, 7, 9, 11]",5,200
0,TSF_Dilation,ALL_AVERAGE,0.627592,17.443874,7.950162399999999,67176.0,1.0,1.0,"[3, 7, 9, 11]",9,200
0,TSF_Dilation,ALL_AVERAGE,0.6343755999999999,24.928958400000003,11.4871428,97032.0,1.0,1.0,"[3, 7, 9, 11]",13,200
0,TSF_Dilation,ALL_AVERAGE,0.6099276,32.338816,14.974608400000001,126888.0,1.0,1.0,"[3, 7, 9, 11]",17,200
0,TSF_Dilation,ALL_AVERAGE,0.6126052,39.874230399999995,18.5230768,156744.0,1.0,1.0,"[3, 7, 9, 11]",21,200
0,TSF_Dilation,ALL_AVERAGE,0.597166,47.194770000000005,22.055873199999997,186600.0,1.0,1.0,"[3, 7, 9, 11]",25,200
0,TSF_Dilation,ALL_AVERAGE,0.6207043999999999,54.5984612,25.546248400000003,216456.0,1.0,1.0,"[3, 7, 9, 11]",29,200
0,TSF_Dilation,ALL_AVERAGE,0.5974268,62.031125200000005,29.0715788,246312.0,1.0,1.0,"[3, 7, 9, 11]",33,200
0,TSF_Dilation,ALL_AVERAGE,0.6102156,69.5508032,32.460221600000004,276168.0,1.0,1.0,"[3, 7, 9, 11]",37,200
0,TSF_Dilation,ALL_AVERAGE,0.6027743999999999,77.15378519999999,36.0581452,306024.0,1.0,1.0,"[3, 7, 9, 11]",41,200
0,TSF_Dilation,ALL_AVERAGE,0.60543,84.29038240000001,39.5834236,335880.0,1.0,1.0,"[3, 7, 9, 11]",45,200
0,TSF_Dilation,ALL_AVERAGE,0.6017364,91.60374800000001,42.923246799999994,365736.0,1.0,1.0,"[3, 7, 9, 11]",49,200
