,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
0,TSF,ALL_AVERAGE,0.8226455999999999,2.0429543999999997,0.9483024,NULL,1,1,None,None,200
0,TSF_Dilation,ALL_AVERAGE,0.5467544,2.8198624,0.7879427999999998,7464.0,1.0,1.0,"[3, 5, 7, 9, 11]",1,200
0,TSF_Dilation,ALL_AVERAGE,0.5618972,4.9413348,1.5091532,14928.0,1.0,1.0,"[3, 5, 7, 9, 11]",2,200
0,TSF_Dilation,ALL_AVERAGE,0.5641976,7.056631199999999,2.2309599999999996,22392.0,1.0,1.0,"[3, 5, 7, 9, 11]",3,200
0,TSF_Dilation,ALL_AVERAGE,0.5934824000000001,9.2183316,2.9596616,29856.0,1.0,1.0,"[3, 5, 7, 9, 11]",4,200
0,TSF_Dilation,ALL_AVERAGE,0.5466563999999999,11.220228400000002,3.6624036,37320.0,1.0,1.0,"[3, 5, 7, 9, 11]",5,200
0,TSF_Dilation,ALL_AVERAGE,0.5708164,13.3321624,4.3895436,44784.0,1.0,1.0,"[3, 5, 7, 9, 11]",6,200
0,TSF_Dilation,ALL_AVERAGE,0.5533944,15.368141600000001,5.1112892,52248.0,1.0,1.0,"[3, 5, 7, 9, 11]",7,200
0,TSF_Dilation,ALL_AVERAGE,0.53591,17.517405999999998,5.858106,59712.0,1.0,1.0,"[3, 5, 7, 9, 11]",8,200
0,TSF_Dilation,ALL_AVERAGE,0.5515627999999999,19.5221588,6.532558,67176.0,1.0,1.0,"[3, 5, 7, 9, 11]",9,200
0,TSF_Dilation,ALL_AVERAGE,0.5526016,21.6676204,7.2642384,74640.0,1.0,1.0,"[3, 5, 7, 9, 11]",10,200
0,TSF_Dilation,ALL_AVERAGE,0.5552424,23.844386,8.0247008,82104.0,1.0,1.0,"[3, 5, 7, 9, 11]",11,200
0,TSF_Dilation,ALL_AVERAGE,0.5422024000000001,25.918199200000004,8.7347644,89568.0,1.0,1.0,"[3, 5, 7, 9, 11]",12,200
0,TSF_Dilation,ALL_AVERAGE,0.5464028000000001,27.8827104,9.7969004,97032.0,1.0,1.0,"[3, 5, 7, 9, 11]",13,200
0,TSF_Dilation,ALL_AVERAGE,0.5403972,37.0069008,11.432315999999998,104496.0,1.0,1.0,"[3, 5, 7, 9, 11]",14,200
