,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
0,TSF,ArrowHead,0.73714,1.68644,1.81871,NULL,1,1,None,None,200
1,TSF,Beef,0.8,2.4101,1.8541,NULL,1,1,None,None,200
2,TSF,BeetleFly,0.8,2.05122,1.73736,NULL,1,1,None,None,200
3,TSF,BirdChicken,0.9,2.23819,1.58598,NULL,1,1,None,None,200
4,TSF,Car,0.75,3.38515,2.19034,NULL,1,1,None,None,200
5,TSF,CBF,0.99444,1.1151,1.64006,NULL,1,1,None,None,200
6,TSF,Coffee,1.0,1.4733,0.98092,NULL,1,1,None,None,200
7,TSF,DiatomSizeReduction,0.89869,1.43121,2.18606,NULL,1,1,None,None,200
8,TSF,DistalPhalanxOutlineAgeGroup,0.74101,2.56936,0.65969,NULL,1,1,None,None,200
9,TSF,DistalPhalanxOutlineCorrect,0.76812,4.5016,0.71565,NULL,1,1,None,None,200
10,TSF,DistalPhalanxTW,0.70504,3.08101,0.62615,NULL,1,1,None,None,200
11,TSF,ECG200,0.87,1.58984,0.72219,NULL,1,1,None,None,200
12,TSF,ECGFiveDays,0.95238,1.02651,1.62077,NULL,1,1,None,None,200
13,TSF,ItalyPowerDemand,0.96501,0.75639,0.49837,NULL,1,1,None,None,200
14,TSF,MiddlePhalanxOutlineAgeGroup,0.55195,3.30505,0.6329,NULL,1,1,None,None,200
15,TSF,MiddlePhalanxOutlineCorrect,0.83162,4.87084,0.69325,NULL,1,1,None,None,200
16,TSF,MiddlePhalanxTW,0.55195,4.68493,0.63637,NULL,1,1,None,None,200
17,TSF,OliveOil,0.86667,2.0907,1.60695,NULL,1,1,None,None,200
18,TSF,Plane,1.0,1.74228,0.90163,NULL,1,1,None,None,200
19,TSF,ProximalPhalanxOutlineAgeGroup,0.84878,2.89594,0.65649,NULL,1,1,None,None,200
20,TSF,ProximalPhalanxOutlineCorrect,0.84536,4.53875,0.73374,NULL,1,1,None,None,200
21,TSF,ProximalPhalanxTW,0.81951,3.22117,0.68107,NULL,1,1,None,None,200
22,TSF,SyntheticControl,0.99,2.39609,0.63749,NULL,1,1,None,None,200
23,TSF,TwoLeadECG,0.7928,1.03483,1.5777,NULL,1,1,None,None,200
24,TSF,Wine,0.61111,1.66665,1.01134,NULL,1,1,None,None,200
0,TSF_Dilation,ArrowHead,0.54286,1.85428,1.29358,9000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
1,TSF_Dilation,Beef,0.2,2.69858,1.19538,12600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
2,TSF_Dilation,BeetleFly,0.85,2.42697,1.46284,13200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
3,TSF_Dilation,BirdChicken,0.8,2.25978,1.2541,13200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
4,TSF_Dilation,Car,0.23333,4.07031,1.57669,14400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
5,TSF_Dilation,CBF,0.97778,1.49753,1.78892,6600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
6,TSF_Dilation,Coffee,0.89286,1.90025,0.97105,9600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
7,TSF_Dilation,DiatomSizeReduction,0.9085,1.88402,1.898,10800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.73381,3.50762,0.89533,4800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,4.86071,0.68842,4800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
10,TSF_Dilation,DistalPhalanxTW,0.67626,3.89281,0.6882,4800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
11,TSF_Dilation,ECG200,0.82,1.43598,0.65627,5400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
12,TSF_Dilation,ECGFiveDays,0.88502,1.07061,1.57766,6600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
