,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
0,TSF,ALL_AVERAGE,0.8196875999999998,2.4674348,1.0950244,NULL,1,1,None,None,200
0,TSF_Dilation,ALL_AVERAGE,0.6673752000000001,2.9043228,1.0430108000000002,7464.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",1,200
0,TSF_Dilation,ALL_AVERAGE,0.6420804000000001,5.367802,1.9607043999999996,14928.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",2,200
0,TSF_Dilation,ALL_AVERAGE,0.6184572,7.338716799999999,2.8529307999999998,22392.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",3,200
0,TSF_Dilation,ALL_AVERAGE,0.5925664,9.4666008,3.724558,29856.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",4,200
0,TSF_Dilation,ALL_AVERAGE,0.606282,12.127774800000003,4.771006,37320.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",5,200
0,TSF_Dilation,ALL_AVERAGE,0.6068551999999999,14.366007199999999,5.553211600000001,44784.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",6,200
0,TSF_Dilation,ALL_AVERAGE,0.5738576,16.6989848,6.5996952,52248.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",7,200
0,TSF_Dilation,ALL_AVERAGE,0.592174,18.6532008,7.351006400000001,59712.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",8,200
0,TSF_Dilation,ALL_AVERAGE,0.5799248,20.9519996,8.291487199999999,67176.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",9,200
0,TSF_Dilation,ALL_AVERAGE,0.585774,23.8682484,9.2342396,74640.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",10,200
0,TSF_Dilation,ALL_AVERAGE,0.5736556,25.5928916,10.0332244,82104.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",11,200
0,TSF_Dilation,ALL_AVERAGE,0.586748,27.9694588,10.998087600000002,89568.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",12,200
0,TSF_Dilation,ALL_AVERAGE,0.5835716,30.215508800000002,11.870248399999998,97032.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",13,200
0,TSF_Dilation,ALL_AVERAGE,0.5812552,32.242702,12.7903504,104496.0,1.0,1.0,"[3, 20, 40, 60, 80, 100, 120, 140]",14,200
