,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
0,TSF,ALL_AVERAGE,0.8189564,2.493006,1.0892328,NULL,1,1,None,None,200
0,TSF_Dilation,ALL_AVERAGE,0.6870504000000001,0.282236,0.1150196,746.4,1.0,1.0,[1],1,20
0,TSF_Dilation,ALL_AVERAGE,0.6421924,1.154238,0.5040088,3732.0,1.0,1.0,[1],5,20
0,TSF_Dilation,ALL_AVERAGE,0.614262,1.9701075999999997,0.8953432000000001,6717.6,1.0,1.0,[1],9,20
0,TSF_Dilation,ALL_AVERAGE,0.5647604,2.943579599999999,1.2946587999999999,9703.2,1.0,1.0,[1],13,20
0,TSF_Dilation,ALL_AVERAGE,0.5634076,3.8348327999999996,1.7028124,12688.8,1.0,1.0,[1],17,20
0,TSF_Dilation,ALL_AVERAGE,0.6290368,4.6910908000000004,2.1515556,15674.4,1.0,1.0,[1],21,20
0,TSF_Dilation,ALL_AVERAGE,0.5644668,5.403815600000001,2.4665912,18660.0,1.0,1.0,[1],25,20
0,TSF_Dilation,ALL_AVERAGE,0.5578812000000001,6.408027199999999,2.8312480000000004,21645.6,1.0,1.0,[1],29,20
0,TSF_Dilation,ALL_AVERAGE,0.5796852,7.3800184,3.2517068000000005,24631.2,1.0,1.0,[1],33,20
0,TSF_Dilation,ALL_AVERAGE,0.5585544,8.0145704,3.6833392,27616.8,1.0,1.0,[1],37,20
0,TSF_Dilation,ALL_AVERAGE,0.5538451999999999,8.8797,4.0022576,30602.4,1.0,1.0,[1],41,20
0,TSF_Dilation,ALL_AVERAGE,0.57307,10.0924872,4.5046004,33588.0,1.0,1.0,[1],45,20
0,TSF_Dilation,ALL_AVERAGE,0.5807224,10.619512399999998,4.8415828,36573.6,1.0,1.0,[1],49,20
