,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
0,TSF,ALL_AVERAGE,0.8250568,2.4225008,1.1246572,NULL,1,1,None,None,200
0,TSF_Dilation,ALL_AVERAGE,0.6691803999999999,2.875412,1.0356087999999999,7464.0,1.0,0.7,[1],1,200
0,TSF_Dilation,ALL_AVERAGE,0.6686591999999999,4.9687604,1.9363067999999999,14928.0,1.0,0.7,[1],2,200
0,TSF_Dilation,ALL_AVERAGE,0.6657828000000001,7.2328596,2.8822032,22392.0,1.0,0.7,[1],3,200
0,TSF_Dilation,ALL_AVERAGE,0.6433616,9.093734,3.763688,29856.0,1.0,0.7,[1],4,200
0,TSF_Dilation,ALL_AVERAGE,0.6445692,11.643513200000003,4.6726276,37320.0,1.0,0.7,[1],5,200
0,TSF_Dilation,ALL_AVERAGE,0.6334791999999999,13.967814800000001,5.5422972,44784.0,1.0,0.7,[1],6,200
0,TSF_Dilation,ALL_AVERAGE,0.6337820000000001,16.0104548,6.607137999999999,52248.0,1.0,0.7,[1],7,200
0,TSF_Dilation,ALL_AVERAGE,0.6146584,17.950328,7.295065999999999,59712.0,1.0,0.7,[1],8,200
0,TSF_Dilation,ALL_AVERAGE,0.60501,20.1150768,8.3623732,67176.0,1.0,0.7,[1],9,200
0,TSF_Dilation,ALL_AVERAGE,0.6166012,22.6300356,9.2922904,74640.0,1.0,0.7,[1],10,200
0,TSF_Dilation,ALL_AVERAGE,0.599286,24.216694399999998,10.161766000000002,82104.0,1.0,0.7,[1],11,200
0,TSF_Dilation,ALL_AVERAGE,0.6155544000000001,26.652518400000005,11.06608,89568.0,1.0,0.7,[1],12,200
0,TSF_Dilation,ALL_AVERAGE,0.6137176,29.266454000000003,11.958537999999999,97032.0,1.0,0.7,[1],13,200
0,TSF_Dilation,ALL_AVERAGE,0.6198776,30.726323200000003,12.8446016,104496.0,1.0,0.7,[1],14,200
