,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
0,TSF,ArrowHead,0.69143,1.79514,1.41858,NULL,1,1,None,None,200
1,TSF,Beef,0.8,2.17682,1.38337,NULL,1,1,None,None,200
2,TSF,BeetleFly,0.75,2.02384,1.43067,NULL,1,1,None,None,200
3,TSF,BirdChicken,0.9,1.85924,1.31172,NULL,1,1,None,None,200
4,TSF,Car,0.76667,2.96843,1.9881,NULL,1,1,None,None,200
5,TSF,CBF,0.99111,1.0678,1.61957,NULL,1,1,None,None,200
6,TSF,Coffee,0.96429,1.44619,0.94652,NULL,1,1,None,None,200
7,TSF,DiatomSizeReduction,0.87908,1.90766,2.27652,NULL,1,1,None,None,200
8,TSF,DistalPhalanxOutlineAgeGroup,0.74101,3.52781,0.87103,NULL,1,1,None,None,200
9,TSF,DistalPhalanxOutlineCorrect,0.76087,4.52977,0.83006,NULL,1,1,None,None,200
10,TSF,DistalPhalanxTW,0.69784,3.05931,0.60736,NULL,1,1,None,None,200
11,TSF,ECG200,0.86,1.27265,0.69771,NULL,1,1,None,None,200
12,TSF,ECGFiveDays,0.96632,1.2616,1.67336,NULL,1,1,None,None,200
13,TSF,ItalyPowerDemand,0.9689,0.6104,0.51052,NULL,1,1,None,None,200
14,TSF,MiddlePhalanxOutlineAgeGroup,0.54545,3.12505,0.63402,NULL,1,1,None,None,200
15,TSF,MiddlePhalanxOutlineCorrect,0.82474,4.79026,0.76606,NULL,1,1,None,None,200
16,TSF,MiddlePhalanxTW,0.56494,4.06495,0.64826,NULL,1,1,None,None,200
17,TSF,OliveOil,0.86667,2.05317,1.56651,NULL,1,1,None,None,200
18,TSF,Plane,1.0,1.73146,0.86947,NULL,1,1,None,None,200
19,TSF,ProximalPhalanxOutlineAgeGroup,0.85366,3.70127,0.64064,NULL,1,1,None,None,200
20,TSF,ProximalPhalanxOutlineCorrect,0.85911,4.32399,0.69072,NULL,1,1,None,None,200
21,TSF,ProximalPhalanxTW,0.81463,3.80647,0.66302,NULL,1,1,None,None,200
22,TSF,SyntheticControl,0.99,2.30149,0.59582,NULL,1,1,None,None,200
23,TSF,TwoLeadECG,0.79807,0.96822,1.37855,NULL,1,1,None,None,200
24,TSF,Wine,0.64815,1.55721,1.00212,NULL,1,1,None,None,200
0,TSF_Dilation,ArrowHead,0.58286,0.60115,0.32002,1800,0.2,1.0,[1],1,200
1,TSF_Dilation,Beef,0.26667,1.02116,0.31532,2400,0.2,1.0,[1],1,200
2,TSF_Dilation,BeetleFly,0.85,0.78972,0.33837,2400,0.2,1.0,[1],1,200
3,TSF_Dilation,BirdChicken,0.75,0.75968,0.30922,2400,0.2,1.0,[1],1,200
4,TSF_Dilation,Car,0.5,1.14278,0.4294,2400,0.2,1.0,[1],1,200
5,TSF_Dilation,CBF,0.97667,0.49468,0.38275,1200,0.2,1.0,[1],1,200
6,TSF_Dilation,Coffee,0.85714,0.58305,0.22614,1800,0.2,1.0,[1],1,200
7,TSF_Dilation,DiatomSizeReduction,0.94771,0.62221,0.51954,1800,0.2,1.0,[1],1,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.69065,0.95052,0.12256,600,0.2,1.0,[1],1,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.50725,1.09865,0.14232,600,0.2,1.0,[1],1,200
10,TSF_Dilation,DistalPhalanxTW,0.66906,0.98422,0.13123,600,0.2,1.0,[1],1,200
11,TSF_Dilation,ECG200,0.84,0.59852,0.13695,600,0.2,1.0,[1],1,200
12,TSF_Dilation,ECGFiveDays,0.85482,0.56045,0.4089,1200,0.2,1.0,[1],1,200
13,TSF_Dilation,ItalyPowerDemand,0.93683,0.39477,0.18865,0,0.2,1.0,[1],1,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.50649,0.79587,0.12757,600,0.2,1.0,[1],1,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.80756,1.14011,0.14028,600,0.2,1.0,[1],1,200
