,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
0,TSF,ArrowHead,0.71429,1.27828,1.25496,NULL,1.0,1.0,[0],0.0,200
1,TSF,Beef,0.76667,1.77112,1.25509,NULL,1.0,1.0,[0],0.0,200
2,TSF,BeetleFly,0.8,1.63754,1.28761,NULL,1.0,1.0,[0],0.0,200
3,TSF,BirdChicken,0.9,1.62205,1.24546,NULL,1.0,1.0,[0],0.0,200
4,TSF,Car,0.76667,2.52196,1.66181,NULL,1.0,1.0,[0],0.0,200
5,TSF,CBF,0.99222,0.92715,1.51267,NULL,1.0,1.0,[0],0.0,200
6,TSF,Coffee,1.0,1.24617,0.90374,NULL,1.0,1.0,[0],0.0,200
7,TSF,DiatomSizeReduction,0.9085,1.29275,1.9973,NULL,1.0,1.0,[0],0.0,200
8,TSF,DistalPhalanxOutlineAgeGroup,0.73381,2.39711,0.53739,NULL,1.0,1.0,[0],0.0,200
9,TSF,DistalPhalanxOutlineCorrect,0.77174,4.0321,0.63218,NULL,1.0,1.0,[0],0.0,200
10,TSF,DistalPhalanxTW,0.70504,2.79178,0.52068,NULL,1.0,1.0,[0],0.0,200
11,TSF,ECG200,0.85,1.05173,0.57477,NULL,1.0,1.0,[0],0.0,200
12,TSF,ECGFiveDays,0.96632,0.87872,1.51257,NULL,1.0,1.0,[0],0.0,200
13,TSF,ItalyPowerDemand,0.96501,0.53747,0.45637,NULL,1.0,1.0,[0],0.0,200
14,TSF,MiddlePhalanxOutlineAgeGroup,0.53247,2.60374,0.55465,NULL,1.0,1.0,[0],0.0,200
15,TSF,MiddlePhalanxOutlineCorrect,0.81787,4.26691,0.66105,NULL,1.0,1.0,[0],0.0,200
16,TSF,MiddlePhalanxTW,0.53896,3.66761,0.53035,NULL,1.0,1.0,[0],0.0,200
17,TSF,OliveOil,0.86667,1.83709,1.39183,NULL,1.0,1.0,[0],0.0,200
18,TSF,Plane,1.0,1.4812,0.75809,NULL,1.0,1.0,[0],0.0,200
