,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations_per_window,n_estimators
0,TSF,ALL_AVERAGE,0.8223427999999999,2.054794,0.9499007999999999,NULL,1.0,1.0,[0],0.0,200
0,TSF_Dilation,ALL_AVERAGE,0.6223639999999999,0.2517888,0.09307399999999999,746.4,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",1.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6635016,1.2056387999999998,0.44143160000000004,3732.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",1.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6962088,2.3991116000000003,0.8727688,7464.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",1.0,200
0,TSF_Dilation,ALL_AVERAGE,0.6102896,0.6506012,0.25516079999999997,2239.2,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",3.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6701068000000001,3.1761512000000005,1.2502816,11196.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",3.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6571712000000001,6.350118800000001,2.5027939999999997,22392.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",3.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5719216,1.0309888,0.41277919999999996,3732.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",5.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6359528,5.158237199999999,2.0766848,18660.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",5.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6499547999999998,10.197844799999999,4.088799999999999,37320.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",5.0,200
0,TSF_Dilation,ALL_AVERAGE,0.602952,1.4283132000000003,0.5769484,5224.8,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",7.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6167196,7.106333599999999,2.869368,26124.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",7.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6270572,14.1652648,5.705364,52248.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",7.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5965916,1.8184280000000002,0.7497456,6717.6,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",9.0,20
0,TSF_Dilation,ALL_AVERAGE,0.608796,9.0415244,3.6608704000000007,33588.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",9.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6331916,18.1096708,7.390534,67176.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",9.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5729916,2.2181916,0.90207,8210.4,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",11.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6050732,10.943568800000001,4.4640664,41052.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",11.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6171260000000001,21.965064,8.9717732,82104.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",11.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5442676,2.5954384000000004,1.06482,9703.2,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",13.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6225484,12.891904,5.2811156,48516.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",13.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6092468,25.914293599999997,10.576674,97032.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",13.0,200
0,TSF_Dilation,ALL_AVERAGE,0.6005204000000001,2.9954859999999996,1.2276144,11196.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",15.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5941196,14.866694000000003,6.120051599999999,55980.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",15.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5882288,29.6699744,12.171324,111960.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",15.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5392712,3.38848,1.386816,12688.8,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",17.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5903604,16.8363336,6.941067600000001,63444.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",17.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5867656,33.635192,13.764144000000002,126888.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",17.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5513548,3.7988799999999996,1.5552448,14181.6,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",19.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6066032,18.7252532,7.7624059999999995,70908.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",19.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6076564000000001,37.315816399999996,15.313718400000003,141816.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",19.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5628752,4.134714,1.7188948,15674.4,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",21.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5774556,20.6466896,8.4928388,78372.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",21.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5807012,41.3141032,16.975960399999998,156744.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",21.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5687152000000001,4.5225368,1.8782423999999998,17167.2,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",23.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5831856000000001,22.7016988,9.297910400000001,85836.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",23.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5939468,45.2641468,18.7134404,171672.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",23.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5465059999999999,4.928542,2.0275195999999998,18660.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",25.0,20
0,TSF_Dilation,ALL_AVERAGE,0.578252,24.565520799999998,10.1875412,93300.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",25.0,100
0,TSF_Dilation,ALL_AVERAGE,0.586262,48.893402800000004,20.1617124,186600.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",25.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5707944,5.3622424,2.2183096,20152.8,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",27.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5767408,26.429205200000002,10.874260000000001,100764.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",27.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5886452,52.8317716,21.835190400000002,201528.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",27.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5578224,5.7087328,2.3643099999999997,21645.6,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",29.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5810384000000001,28.456618,11.774615599999999,108228.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",29.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5885739999999999,56.918694800000004,23.5047416,216456.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",29.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5717016,6.1445552,2.5408956000000003,23138.4,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",31.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5964352,30.3578928,12.547150000000002,115692.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",31.0,100
0,TSF_Dilation,ALL_AVERAGE,0.58348,60.708630400000004,25.0616,231384.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",31.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5721812,6.4789124,2.6939259999999994,24631.2,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",33.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5620919999999999,32.3637572,13.3399604,123156.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",33.0,100
0,TSF_Dilation,ALL_AVERAGE,0.6071916,64.3049136,26.588933199999996,246312.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",33.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5471464,6.891804,2.8557812,26124.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",35.0,20
0,TSF_Dilation,ALL_AVERAGE,0.602252,34.172432799999996,14.196832800000003,130620.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",35.0,100
0,TSF_Dilation,ALL_AVERAGE,0.595264,68.3246608,28.210732800000002,261240.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",35.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5328996,7.310284,3.0135064,27616.8,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",37.0,20
0,TSF_Dilation,ALL_AVERAGE,0.5735196,36.1044232,14.9715852,138084.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",37.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5909663999999999,72.33993319999999,29.9785268,276168.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",37.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5476392,7.765452399999999,3.2316084000000007,29109.6,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",39.0,20
0,TSF_Dilation,ALL_AVERAGE,0.6137859999999999,37.924481199999995,15.7194848,145548.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",39.0,100
0,TSF_Dilation,ALL_AVERAGE,0.5649763999999999,76.121962,31.694068399999995,291096.0,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",39.0,200
0,TSF_Dilation,ALL_AVERAGE,0.5345663999999999,8.0159916,3.3873535999999995,30602.4,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69]",41.0,20
