,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators,n_intervals
0,TSF,ArrowHead,0.72,1.27448,1.3572,NULL,1.0,1.0,[0],0.0,200,0
1,TSF,Beef,0.8,1.86544,1.28852,NULL,1.0,1.0,[0],0.0,200,0
2,TSF,BeetleFly,0.8,1.6379,1.27979,NULL,1.0,1.0,[0],0.0,200,0
3,TSF,BirdChicken,0.9,1.69951,1.34028,NULL,1.0,1.0,[0],0.0,200,0
4,TSF,Car,0.75,2.63738,1.76366,NULL,1.0,1.0,[0],0.0,200,0
5,TSF,CBF,0.99222,0.90914,1.5111,NULL,1.0,1.0,[0],0.0,200,0
6,TSF,Coffee,1.0,1.23403,0.91853,NULL,1.0,1.0,[0],0.0,200,0
7,TSF,DiatomSizeReduction,0.90523,1.3264,2.05645,NULL,1.0,1.0,[0],0.0,200,0
8,TSF,DistalPhalanxOutlineAgeGroup,0.76259,2.3782,0.53692,NULL,1.0,1.0,[0],0.0,200,0
9,TSF,DistalPhalanxOutlineCorrect,0.76449,4.03913,0.62717,NULL,1.0,1.0,[0],0.0,200,0
10,TSF,DistalPhalanxTW,0.71223,2.8114,0.5317,NULL,1.0,1.0,[0],0.0,200,0
11,TSF,ECG200,0.87,1.03794,0.55732,NULL,1.0,1.0,[0],0.0,200,0
12,TSF,ECGFiveDays,0.96864,0.87256,1.50516,NULL,1.0,1.0,[0],0.0,200,0
13,TSF,ItalyPowerDemand,0.96696,0.52779,0.4644,NULL,1.0,1.0,[0],0.0,200,0
14,TSF,MiddlePhalanxOutlineAgeGroup,0.52597,2.63616,0.55143,NULL,1.0,1.0,[0],0.0,200,0
15,TSF,MiddlePhalanxOutlineCorrect,0.82818,4.22676,0.61923,NULL,1.0,1.0,[0],0.0,200,0
16,TSF,MiddlePhalanxTW,0.52597,3.7187,0.54121,NULL,1.0,1.0,[0],0.0,200,0
17,TSF,OliveOil,0.86667,1.91769,1.45809,NULL,1.0,1.0,[0],0.0,200,0
18,TSF,Plane,1.0,1.53016,0.78547,NULL,1.0,1.0,[0],0.0,200,0
19,TSF,ProximalPhalanxOutlineAgeGroup,0.8439,2.52206,0.58815,NULL,1.0,1.0,[0],0.0,200,0
20,TSF,ProximalPhalanxOutlineCorrect,0.84536,3.92367,0.6326,NULL,1.0,1.0,[0],0.0,200,0
21,TSF,ProximalPhalanxTW,0.82927,2.91277,0.59443,NULL,1.0,1.0,[0],0.0,200,0
22,TSF,SyntheticControl,0.99,1.86112,0.55439,NULL,1.0,1.0,[0],0.0,200,0
23,TSF,TwoLeadECG,0.77261,0.76246,1.25383,NULL,1.0,1.0,[0],0.0,200,0
24,TSF,Wine,0.64815,1.40243,0.90848,NULL,1.0,1.0,[0],0.0,200,0
0,TSF_Dilation,ArrowHead,0.59429,11.41999,11.58032,450,1.0,1.0,[1],10.0,200,0
1,TSF_Dilation,Beef,0.36667,17.56803,11.9508,630,1.0,1.0,[1],10.0,200,0
2,TSF_Dilation,BeetleFly,0.65,15.63816,11.59658,660,1.0,1.0,[1],10.0,200,0
3,TSF_Dilation,BirdChicken,0.75,15.70296,12.03327,660,1.0,1.0,[1],10.0,200,0
4,TSF_Dilation,Car,0.23333,28.65943,16.30863,720,1.0,1.0,[1],10.0,200,0
5,TSF_Dilation,CBF,0.56444,7.41204,14.39875,330,1.0,1.0,[1],10.0,200,0
6,TSF_Dilation,Coffee,0.92857,11.05843,8.38807,480,1.0,1.0,[1],10.0,200,0
7,TSF_Dilation,DiatomSizeReduction,0.92157,12.1659,19.74,540,1.0,1.0,[1],10.0,200,0
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.74101,22.49011,4.83735,240,1.0,1.0,[1],10.0,200,0
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,39.20025,5.8968,240,1.0,1.0,[1],10.0,200,0
10,TSF_Dilation,DistalPhalanxTW,0.69784,26.28566,4.72212,240,1.0,1.0,[1],10.0,200,0
11,TSF_Dilation,ECG200,0.84,8.69123,5.19111,270,1.0,1.0,[1],10.0,200,0
12,TSF_Dilation,ECGFiveDays,0.96167,6.96318,14.63653,330,1.0,1.0,[1],10.0,200,0
13,TSF_Dilation,ItalyPowerDemand,0.95432,2.8687,3.83114,120,1.0,1.0,[1],10.0,200,0
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.22727,24.16412,4.91551,240,1.0,1.0,[1],10.0,200,0
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.47766,41.01803,5.68717,240,1.0,1.0,[1],10.0,200,0
16,TSF_Dilation,MiddlePhalanxTW,0.51299,35.26934,4.97779,240,1.0,1.0,[1],10.0,200,0
17,TSF_Dilation,OliveOil,0.4,19.45772,13.17356,690,1.0,1.0,[1],10.0,200,0
18,TSF_Dilation,Plane,0.99048,13.74962,7.06355,360,1.0,1.0,[1],10.0,200,0
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.75122,23.11864,5.27458,240,1.0,1.0,[1],10.0,200,0
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.38144,37.45748,5.84649,240,1.0,1.0,[1],10.0,200,0
21,TSF_Dilation,ProximalPhalanxTW,0.72683,26.89403,5.26751,240,1.0,1.0,[1],10.0,200,0
22,TSF_Dilation,SyntheticControl,0.83333,16.88443,4.97632,210,1.0,1.0,[1],10.0,200,0
23,TSF_Dilation,TwoLeadECG,0.50044,5.47927,11.66393,270,1.0,1.0,[1],10.0,200,0
24,TSF_Dilation,Wine,0.5,13.03203,8.44213,450,1.0,1.0,[1],10.0,200,0
0,TSF_Dilation,ArrowHead,0.63429,56.73596,59.21223,2250,1.0,1.0,[1],50.0,200,0
1,TSF_Dilation,Beef,0.36667,86.69692,60.35125,3150,1.0,1.0,[1],50.0,200,0
2,TSF_Dilation,BeetleFly,0.5,78.24292,59.46882,3300,1.0,1.0,[1],50.0,200,0
3,TSF_Dilation,BirdChicken,0.65,77.21092,58.70404,3300,1.0,1.0,[1],50.0,200,0
4,TSF_Dilation,Car,0.23333,140.44836,79.53619,3600,1.0,1.0,[1],50.0,200,0
5,TSF_Dilation,CBF,0.33111,35.79914,71.46111,1650,1.0,1.0,[1],50.0,200,0
6,TSF_Dilation,Coffee,0.92857,54.11678,42.03711,2400,1.0,1.0,[1],50.0,200,0
7,TSF_Dilation,DiatomSizeReduction,0.9281,57.71007,94.87629,2700,1.0,1.0,[1],50.0,200,0
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.64748,109.20468,24.27671,1200,1.0,1.0,[1],50.0,200,0
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,190.22138,28.34826,1200,1.0,1.0,[1],50.0,200,0
10,TSF_Dilation,DistalPhalanxTW,0.69065,128.13145,24.0245,1200,1.0,1.0,[1],50.0,200,0
11,TSF_Dilation,ECG200,0.81,41.55209,26.28228,1350,1.0,1.0,[1],50.0,200,0
12,TSF_Dilation,ECGFiveDays,0.96864,32.65287,70.83637,1650,1.0,1.0,[1],50.0,200,0
13,TSF_Dilation,ItalyPowerDemand,0.90962,13.31755,19.88362,600,1.0,1.0,[1],50.0,200,0
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.18831,119.09873,24.52499,1200,1.0,1.0,[1],50.0,200,0
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.42955,195.92949,29.59996,1200,1.0,1.0,[1],50.0,200,0
16,TSF_Dilation,MiddlePhalanxTW,0.37013,173.99322,24.70875,1200,1.0,1.0,[1],50.0,200,0
17,TSF_Dilation,OliveOil,0.4,96.02449,66.51355,3450,1.0,1.0,[1],50.0,200,0
18,TSF_Dilation,Plane,0.95238,68.03707,35.77798,1800,1.0,1.0,[1],50.0,200,0
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.85366,111.39031,26.42407,1200,1.0,1.0,[1],50.0,200,0
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.31615,183.01053,29.07859,1200,1.0,1.0,[1],50.0,200,0
21,TSF_Dilation,ProximalPhalanxTW,0.74634,130.82455,26.06189,1200,1.0,1.0,[1],50.0,200,0
22,TSF_Dilation,SyntheticControl,0.86333,82.72917,24.7222,1050,1.0,1.0,[1],50.0,200,0
23,TSF_Dilation,TwoLeadECG,0.50044,26.0813,57.13676,1350,1.0,1.0,[1],50.0,200,0
24,TSF_Dilation,Wine,0.5,63.86419,42.79904,2250,1.0,1.0,[1],50.0,200,0
0,TSF_Dilation,ArrowHead,0.41714,112.02891,116.86521,4500,1.0,1.0,[1],100.0,200,0
1,TSF_Dilation,Beef,0.36667,174.31643,120.17061,6300,1.0,1.0,[1],100.0,200,0
2,TSF_Dilation,BeetleFly,0.5,155.57725,116.95021,6600,1.0,1.0,[1],100.0,200,0
3,TSF_Dilation,BirdChicken,0.65,158.01696,120.53564,6600,1.0,1.0,[1],100.0,200,0
4,TSF_Dilation,Car,0.23333,277.29361,161.95979,7200,1.0,1.0,[1],100.0,200,0
5,TSF_Dilation,CBF,0.37889,70.90315,145.17196,3300,1.0,1.0,[1],100.0,200,0
6,TSF_Dilation,Coffee,0.89286,107.09057,84.34877,4800,1.0,1.0,[1],100.0,200,0
7,TSF_Dilation,DiatomSizeReduction,0.91176,118.73493,197.97794,5400,1.0,1.0,[1],100.0,200,0
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.64748,217.15627,48.24064,2400,1.0,1.0,[1],100.0,200,0
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,380.37279,56.71843,2400,1.0,1.0,[1],100.0,200,0
10,TSF_Dilation,DistalPhalanxTW,0.69065,259.52667,48.43598,2400,1.0,1.0,[1],100.0,200,0
11,TSF_Dilation,ECG200,0.8,82.05766,51.90702,2700,1.0,1.0,[1],100.0,200,0
12,TSF_Dilation,ECGFiveDays,0.96864,65.61145,141.21824,3300,1.0,1.0,[1],100.0,200,0
13,TSF_Dilation,ItalyPowerDemand,0.92906,26.14858,38.00112,1200,1.0,1.0,[1],100.0,200,0
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.2013,237.044,48.7703,2400,1.0,1.0,[1],100.0,200,0
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.42955,394.00079,57.20094,2400,1.0,1.0,[1],100.0,200,0
16,TSF_Dilation,MiddlePhalanxTW,0.2987,348.72517,48.57236,2400,1.0,1.0,[1],100.0,200,0
17,TSF_Dilation,OliveOil,0.4,185.84676,134.31858,6900,1.0,1.0,[1],100.0,200,0
18,TSF_Dilation,Plane,0.70476,133.88718,70.16409,3600,1.0,1.0,[1],100.0,200,0
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.85366,222.41672,53.08763,2400,1.0,1.0,[1],100.0,200,0
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.31959,366.05513,59.18748,2400,1.0,1.0,[1],100.0,200,0
21,TSF_Dilation,ProximalPhalanxTW,0.7122,261.70268,51.94539,2400,1.0,1.0,[1],100.0,200,0
22,TSF_Dilation,SyntheticControl,0.82333,163.99991,48.29671,2100,1.0,1.0,[1],100.0,200,0
23,TSF_Dilation,TwoLeadECG,0.50219,52.55827,115.68156,2700,1.0,1.0,[1],100.0,200,0
24,TSF_Dilation,Wine,0.5,131.3107,87.58255,4500,1.0,1.0,[1],100.0,200,0
