,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,dilations_per_interval,n_estimators,n_intervals
0,TSF,ArrowHead,0.72,1.30189,1.26241,45,0.04597,0.8670200000000002,0.2762399999999999,-1.0,-1.0,base clf,-1.0,200,-1
1,TSF,Beef,0.8,1.83269,1.27624,63,0.06372,1.2568300000000001,0.4020299999999999,-1.0,-1.0,base clf,-1.0,200,-1
2,TSF,BeetleFly,0.75,1.6578,1.27506,66,0.06622,1.26552,0.21249999999999997,-1.0,-1.0,base clf,-1.0,200,-1
3,TSF,BirdChicken,0.85,1.62337,1.24239,66,0.06613,1.2260200000000003,0.22016999999999995,-1.0,-1.0,base clf,-1.0,200,-1
4,TSF,Car,0.78333,2.57931,1.69733,72,0.07559,1.6709100000000003,0.7224499999999996,-1.0,-1.0,base clf,-1.0,200,-1
5,TSF,CBF,0.98667,0.92103,1.51185,33,0.03281,0.5715399999999999,0.20882000000000003,-1.0,-1.0,base clf,-1.0,200,-1
6,TSF,Coffee,1.0,1.25014,0.90439,48,0.05,0.8880300000000001,0.20085000000000003,-1.0,-1.0,base clf,-1.0,200,-1
7,TSF,DiatomSizeReduction,0.86928,1.3632,2.04736,54,0.05414,0.9933,0.20323999999999975,-1.0,-1.0,base clf,-1.0,200,-1
8,TSF,DistalPhalanxOutlineAgeGroup,0.7482,2.34034,0.51497,24,0.02339,0.6455399999999999,1.5639099999999995,-1.0,-1.0,base clf,-1.0,200,-1
9,TSF,DistalPhalanxOutlineCorrect,0.77174,3.98372,0.63014,24,0.02397,0.7735000000000005,3.076390000000001,-1.0,-1.0,base clf,-1.0,200,-1
10,TSF,DistalPhalanxTW,0.69784,2.82323,0.52013,24,0.02448,0.6587900000000003,2.029900000000001,-1.0,-1.0,base clf,-1.0,200,-1
11,TSF,ECG200,0.87,1.0849,0.57929,27,0.02815,0.54645,0.39928999999999987,-1.0,-1.0,base clf,-1.0,200,-1
12,TSF,ECGFiveDays,0.96516,0.90884,1.48866,33,0.03374,0.5788399999999999,0.18594999999999984,-1.0,-1.0,base clf,-1.0,200,-1
13,TSF,ItalyPowerDemand,0.96696,0.53895,0.47268,12,0.0128,0.22433,0.19476,-1.0,-1.0,base clf,-1.0,200,-1
14,TSF,MiddlePhalanxOutlineAgeGroup,0.54545,2.62137,0.53295,24,0.02398,0.6579200000000004,1.8219699999999994,-1.0,-1.0,base clf,-1.0,200,-1
15,TSF,MiddlePhalanxOutlineCorrect,0.82474,4.21121,0.6118,24,0.02325,0.7584699999999995,3.314809999999997,-1.0,-1.0,base clf,-1.0,200,-1
16,TSF,MiddlePhalanxTW,0.55195,3.65439,0.51884,24,0.02387,0.6542999999999998,2.864429999999999,-1.0,-1.0,base clf,-1.0,200,-1
17,TSF,OliveOil,0.86667,1.86166,1.38831,69,0.07041,1.3745100000000003,0.3043,-1.0,-1.0,base clf,-1.0,200,-1
18,TSF,Plane,1.0,1.51625,0.78478,36,0.03711,0.7553700000000001,0.6135600000000001,-1.0,-1.0,base clf,-1.0,200,-1
19,TSF,ProximalPhalanxOutlineAgeGroup,0.85366,2.49253,0.56704,24,0.02349,0.6536700000000004,1.705679999999999,-1.0,-1.0,base clf,-1.0,200,-1
20,TSF,ProximalPhalanxOutlineCorrect,0.8488,3.86409,0.6127,24,0.02411,0.7632399999999997,2.96384,-1.0,-1.0,base clf,-1.0,200,-1
21,TSF,ProximalPhalanxTW,0.81951,2.90524,0.60023,24,0.02507,0.6650600000000002,2.1000400000000012,-1.0,-1.0,base clf,-1.0,200,-1
22,TSF,SyntheticControl,0.98333,1.8732,0.54522,21,0.02077,0.5159199999999999,1.2247600000000003,-1.0,-1.0,base clf,-1.0,200,-1
23,TSF,TwoLeadECG,0.78227,0.77567,1.22483,27,0.02687,0.4617699999999998,0.17833000000000007,-1.0,-1.0,base clf,-1.0,200,-1
24,TSF,Wine,0.66667,1.42741,0.90192,45,0.04274,0.8950500000000002,0.37661000000000006,-1.0,-1.0,base clf,-1.0,200,-1
