,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,dilations_per_interval,n_estimators,n_intervals
0,TSF,ArrowHead,0.72571,1.26907,1.24306,45,0.04252,0.8360400000000003,0.28157999999999994,-1.0,-1.0,base clf,-1.0,200,-1
1,TSF,Beef,0.8,1.7966,1.26938,63,0.06181,1.2346599999999994,0.38908,-1.0,-1.0,base clf,-1.0,200,-1
2,TSF,BeetleFly,0.75,1.64969,1.2793,66,0.06805,1.2580099999999994,0.21293999999999996,-1.0,-1.0,base clf,-1.0,200,-1
3,TSF,BirdChicken,0.9,1.577,1.21309,66,0.06396,1.1983000000000001,0.20895000000000005,-1.0,-1.0,base clf,-1.0,200,-1
4,TSF,Car,0.76667,2.5678,1.67588,72,0.07406,1.6604799999999995,0.7218300000000001,-1.0,-1.0,base clf,-1.0,200,-1
5,TSF,CBF,0.99111,0.93664,1.48411,33,0.03136,0.5845200000000002,0.2117099999999999,-1.0,-1.0,base clf,-1.0,200,-1
6,TSF,Coffee,1.0,1.29016,0.91708,48,0.04986,0.9052000000000002,0.21069999999999994,-1.0,-1.0,base clf,-1.0,200,-1
7,TSF,DiatomSizeReduction,0.90196,1.29465,1.95722,54,0.05022,0.9309299999999998,0.20462000000000033,-1.0,-1.0,base clf,-1.0,200,-1
8,TSF,DistalPhalanxOutlineAgeGroup,0.73381,2.37526,0.53347,24,0.02355,0.65638,1.5768300000000004,-1.0,-1.0,base clf,-1.0,200,-1
9,TSF,DistalPhalanxOutlineCorrect,0.75725,3.92086,0.64243,24,0.02308,0.7553200000000001,3.034359999999999,-1.0,-1.0,base clf,-1.0,200,-1
10,TSF,DistalPhalanxTW,0.70504,2.78951,0.51818,24,0.0234,0.6500800000000001,2.0002400000000002,-1.0,-1.0,base clf,-1.0,200,-1
11,TSF,ECG200,0.86,1.07303,0.56957,27,0.02623,0.5458900000000002,0.39075000000000026,-1.0,-1.0,base clf,-1.0,200,-1
12,TSF,ECGFiveDays,0.95587,0.90328,1.50588,33,0.03414,0.5800999999999997,0.18081999999999995,-1.0,-1.0,base clf,-1.0,200,-1
13,TSF,ItalyPowerDemand,0.96501,0.54617,0.45735,12,0.01237,0.2197799999999999,0.20295999999999995,-1.0,-1.0,base clf,-1.0,200,-1
14,TSF,MiddlePhalanxOutlineAgeGroup,0.55195,2.59325,0.51771,24,0.02421,0.6483899999999998,1.8074300000000008,-1.0,-1.0,base clf,-1.0,200,-1
