,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,num_of_random_dilations,window_sizes,norm_options,word_length,dilation_algo
0,BOSS,ArrowHead,0.84571,90.07272,27.4223,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
1,BOSS,Car,0.83333,542.0124,48.85772,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
2,BOSS,CBF,1.0,23.59911,88.20461,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
3,BOSS,Coffee,1.0,80.23164,16.46185,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
4,BOSS,ALL_AVERAGE,0.91976,183.97896749999998,45.23662,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
0,BOSS,ArrowHead,0.84571,48.12119,14.66902,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
1,BOSS,Car,0.83333,305.54742,26.11617,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
2,BOSS,CBF,1.0,14.11833,51.00203,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
3,BOSS,Coffee,1.0,45.57483,9.35611,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
4,BOSS,ALL_AVERAGE,0.91976,103.34044250000001,25.285832499999998,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
0,BOSS,ArrowHead,0.84,48.72604,14.66559,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
1,BOSS,Car,0.83333,304.425,25.34076,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
2,BOSS,CBF,1.0,13.95738,49.97514,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
3,BOSS,Coffee,1.0,44.59426,9.33085,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
4,BOSS,ALL_AVERAGE,0.9183325,102.92567000000001,24.828085,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
0,BOSS,ArrowHead,0.85143,43.14875,12.99187,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
1,BOSS,Beef,0.73333,99.19739,1.25894,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
2,BOSS,BeetleFly,0.9,75.08825,5.79439,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
3,BOSS,BirdChicken,0.95,67.38515,9.74523,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
4,BOSS,Car,0.83333,274.98698,22.82666,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
5,BOSS,CBF,1.0,12.5856,43.97143,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
6,BOSS,Coffee,1.0,40.55347,8.23448,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
7,BOSS,DiatomSizeReduction,0.92484,25.39921,94.18169,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
8,BOSS,DistalPhalanxOutlineAgeGroup,0.73381,271.98749,17.32895,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
9,BOSS,DistalPhalanxOutlineCorrect,0.72464,561.72002,40.68429,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
10,BOSS,DistalPhalanxTW,0.65468,267.65607,16.05307,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
11,BOSS,ECG200,0.88,37.02514,3.47467,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
12,BOSS,ECGFiveDays,1.0,10.01969,33.39653,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
13,BOSS,ItalyPowerDemand,0.93975,3.46788,2.38265,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
14,BOSS,MiddlePhalanxOutlineAgeGroup,0.55195,265.30555,20.22836,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
15,BOSS,MiddlePhalanxOutlineCorrect,0.76632,547.74348,43.36837,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
16,BOSS,MiddlePhalanxTW,0.54545,268.43927,19.51229,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
17,BOSS,OliveOil,0.9,124.45108,10.0464,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
18,BOSS,Plane,1.0,71.46057,14.97145,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
19,BOSS,ProximalPhalanxOutlineAgeGroup,0.84878,242.07045,26.05794,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
20,BOSS,ProximalPhalanxOutlineCorrect,0.84536,527.09537,42.04608,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
21,BOSS,ProximalPhalanxTW,0.77561,261.97479,27.02362,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
22,BOSS,SyntheticControl,0.91,111.30228,13.05021,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
23,BOSS,TwoLeadECG,0.99122,4.20458,27.65163,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
24,BOSS,Wine,0.74074,61.30599,12.4013,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
25,BOSS,DiatomSizeReduction,0.92157,25.48525,92.83985,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
26,BOSS,DistalPhalanxOutlineAgeGroup,0.76978,265.19335,17.23911,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
27,BOSS,DistalPhalanxOutlineCorrect,0.73188,563.29814,40.58471,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
28,BOSS,DistalPhalanxTW,0.66187,267.36689,16.00188,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
29,BOSS,ECG200,0.87,36.68298,3.45635,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
30,BOSS,ECGFiveDays,1.0,9.92229,33.41409,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
31,BOSS,MiddlePhalanxOutlineAgeGroup,0.57143,264.37668,20.16747,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
32,BOSS,MiddlePhalanxOutlineCorrect,0.7732,546.71196,43.38401,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
33,BOSS,MiddlePhalanxTW,0.53247,268.52041,19.57107,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
34,BOSS,ALL_AVERAGE,0.8186305882352941,191.85683676470586,25.157089411764705,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
0,BOSS,ArrowHead,0.83429,20.03357,0.58654,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
1,BOSS,ALL_AVERAGE,0.83429,20.03357,0.58654,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
0,BOSS,ArrowHead,0.83429,19.30709,0.58093,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
1,BOSS,ALL_AVERAGE,0.83429,19.30709,0.58093,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
0,BOSS,ArrowHead,0.82857,19.29368,0.57125,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
1,BOSS,ALL_AVERAGE,0.82857,19.29368,0.57125,NULL,10 to max,True and False,"[16, 14, 12, 10, 8]",NULL
